ROUTE,direction,timetable,trip_id,stop_id,TIME
38AX,IB,Weekday,8553083,13608,2019-03-21 06:50:00
38AX,IB,Weekday,8553083,14270,2019-03-21 06:59:00
38AX,IB,Weekday,8553083,14347,2019-03-21 07:23:00
38AX,IB,Weekday,8553084,13608,2019-03-21 07:00:00
38AX,IB,Weekday,8553084,14270,2019-03-21 07:09:00
38AX,IB,Weekday,8553084,14347,2019-03-21 07:33:00
38AX,IB,Weekday,8553085,13608,2019-03-21 07:10:00
38AX,IB,Weekday,8553085,14270,2019-03-21 07:19:00
38AX,IB,Weekday,8553085,14347,2019-03-21 07:45:00
38AX,IB,Weekday,8553086,13608,2019-03-21 07:20:00
38AX,IB,Weekday,8553086,14270,2019-03-21 07:29:00
38AX,IB,Weekday,8553086,14347,2019-03-21 07:57:00
38AX,IB,Weekday,8553087,13608,2019-03-21 07:30:00
38AX,IB,Weekday,8553087,14270,2019-03-21 07:39:00
38AX,IB,Weekday,8553087,14347,2019-03-21 08:09:00
38AX,IB,Weekday,8553088,13608,2019-03-21 07:40:00
38AX,IB,Weekday,8553088,14270,2019-03-21 07:49:00
38AX,IB,Weekday,8553088,14347,2019-03-21 08:21:00
38AX,IB,Weekday,8553089,13608,2019-03-21 07:50:00
38AX,IB,Weekday,8553089,14270,2019-03-21 07:59:00
38AX,IB,Weekday,8553089,14347,2019-03-21 08:34:00
38AX,IB,Weekday,8553090,13608,2019-03-21 08:00:00
38AX,IB,Weekday,8553090,14270,2019-03-21 08:09:00
38AX,IB,Weekday,8553090,14347,2019-03-21 08:44:00
38AX,IB,Weekday,8553091,13608,2019-03-21 08:11:00
38AX,IB,Weekday,8553091,14270,2019-03-21 08:20:00
38AX,IB,Weekday,8553091,14347,2019-03-21 08:55:00
38AX,IB,Weekday,8553092,13608,2019-03-21 08:23:00
38AX,IB,Weekday,8553092,14270,2019-03-21 08:32:00
38AX,IB,Weekday,8553092,14347,2019-03-21 09:07:00
38AX,IB,Weekday,8553080,13608,2019-03-21 08:36:00
38AX,IB,Weekday,8553080,14270,2019-03-21 08:45:00
38AX,IB,Weekday,8553080,14347,2019-03-21 09:18:00
38AX,IB,Weekday,8553081,13608,2019-03-21 08:50:00
38AX,IB,Weekday,8553081,14270,2019-03-21 08:59:00
38AX,IB,Weekday,8553081,14347,2019-03-21 09:32:00
38AX,IB,Weekday,8553082,13608,2019-03-21 09:05:00
38AX,IB,Weekday,8553082,14270,2019-03-21 09:14:00
38AX,IB,Weekday,8553082,14347,2019-03-21 09:45:00
38AX,OB,Weekday,8553069,15942,2019-03-21 16:00:00
38AX,OB,Weekday,8553069,13608,2019-03-21 16:31:00
38AX,OB,Weekday,8553070,15942,2019-03-21 16:18:00
38AX,OB,Weekday,8553070,13608,2019-03-21 16:49:00
38AX,OB,Weekday,8553071,15942,2019-03-21 16:35:00
38AX,OB,Weekday,8553071,13608,2019-03-21 17:07:00
38AX,OB,Weekday,8553072,15942,2019-03-21 16:51:00
38AX,OB,Weekday,8553072,13608,2019-03-21 17:27:00
38AX,OB,Weekday,8553073,15942,2019-03-21 17:07:00
38AX,OB,Weekday,8553073,13608,2019-03-21 17:44:00
38AX,OB,Weekday,8553074,15942,2019-03-21 17:24:00
38AX,OB,Weekday,8553074,13608,2019-03-21 18:04:00
38AX,OB,Weekday,8553075,15942,2019-03-21 17:35:00
38AX,OB,Weekday,8553075,13608,2019-03-21 18:15:00
38AX,OB,Weekday,8553076,15942,2019-03-21 17:46:00
38AX,OB,Weekday,8553076,13608,2019-03-21 18:22:00
38AX,OB,Weekday,8553077,15942,2019-03-21 17:58:00
38AX,OB,Weekday,8553077,13608,2019-03-21 18:33:00
38AX,OB,Weekday,8553065,15942,2019-03-21 18:13:00
38AX,OB,Weekday,8553065,13608,2019-03-21 18:48:00
38AX,OB,Weekday,8553066,15942,2019-03-21 18:28:00
38AX,OB,Weekday,8553066,13608,2019-03-21 19:03:00
38AX,OB,Weekday,8553067,15942,2019-03-21 18:43:00
38AX,OB,Weekday,8553067,13608,2019-03-21 19:18:00
38AX,OB,Weekday,8553068,15942,2019-03-21 19:00:00
38AX,OB,Weekday,8553068,13608,2019-03-21 19:35:00
