ROUTE,direction,timetable,trip_id,stop_id,TIME
76X,IB,Saturday,8572523,14728,2019-03-21 10:30:00
76X,IB,Saturday,8572523,14777,2019-03-21 10:47:00
76X,IB,Saturday,8572523,16606,2019-03-21 11:17:00
76X,IB,Saturday,8572522,14728,2019-03-21 11:30:00
76X,IB,Saturday,8572522,14777,2019-03-21 11:47:00
76X,IB,Saturday,8572522,16606,2019-03-21 12:20:00
76X,IB,Saturday,8572521,14728,2019-03-21 12:30:00
76X,IB,Saturday,8572521,14777,2019-03-21 12:47:00
76X,IB,Saturday,8572521,16606,2019-03-21 13:20:00
76X,IB,Saturday,8572520,14728,2019-03-21 14:00:00
76X,IB,Saturday,8572520,14777,2019-03-21 14:38:00
76X,IB,Saturday,8572520,16606,2019-03-21 15:15:00
76X,IB,Saturday,8572519,14728,2019-03-21 15:30:00
76X,IB,Saturday,8572519,14777,2019-03-21 16:07:00
76X,IB,Saturday,8572519,16606,2019-03-21 16:43:00
76X,IB,Saturday,8572518,14728,2019-03-21 17:00:00
76X,IB,Saturday,8572518,14777,2019-03-21 17:36:00
76X,IB,Saturday,8572518,16606,2019-03-21 18:11:00
76X,IB,Saturday,8572517,14728,2019-03-21 18:30:00
76X,IB,Saturday,8572517,14777,2019-03-21 18:52:00
76X,IB,Saturday,8572517,16606,2019-03-21 19:25:00
76X,IB,Sunday,8572537,14728,2019-03-21 10:30:00
76X,IB,Sunday,8572537,14777,2019-03-21 10:47:00
76X,IB,Sunday,8572537,16606,2019-03-21 11:17:00
76X,IB,Sunday,8572536,14728,2019-03-21 11:30:00
76X,IB,Sunday,8572536,14777,2019-03-21 11:47:00
76X,IB,Sunday,8572536,16606,2019-03-21 12:20:00
76X,IB,Sunday,8572535,14728,2019-03-21 12:30:00
76X,IB,Sunday,8572535,14777,2019-03-21 12:47:00
76X,IB,Sunday,8572535,16606,2019-03-21 13:20:00
76X,IB,Sunday,8572534,14728,2019-03-21 14:00:00
76X,IB,Sunday,8572534,14777,2019-03-21 14:38:00
76X,IB,Sunday,8572534,16606,2019-03-21 15:15:00
76X,IB,Sunday,8572533,14728,2019-03-21 15:30:00
76X,IB,Sunday,8572533,14777,2019-03-21 16:07:00
76X,IB,Sunday,8572533,16606,2019-03-21 16:43:00
76X,IB,Sunday,8572532,14728,2019-03-21 17:00:00
76X,IB,Sunday,8572532,14777,2019-03-21 17:36:00
76X,IB,Sunday,8572532,16606,2019-03-21 18:11:00
76X,IB,Sunday,8572531,14728,2019-03-21 18:30:00
76X,IB,Sunday,8572531,14777,2019-03-21 18:52:00
76X,IB,Sunday,8572531,16606,2019-03-21 19:25:00
76X,OB,Saturday,8572510,16606,2019-03-21 09:30:00
76X,OB,Saturday,8572510,14778,2019-03-21 09:54:00
76X,OB,Saturday,8572510,14728,2019-03-21 10:16:00
76X,OB,Saturday,8572516,16606,2019-03-21 10:30:00
76X,OB,Saturday,8572516,14778,2019-03-21 10:55:00
76X,OB,Saturday,8572516,14728,2019-03-21 11:18:00
76X,OB,Saturday,8572515,16606,2019-03-21 11:30:00
76X,OB,Saturday,8572515,14778,2019-03-21 11:57:00
76X,OB,Saturday,8572515,14728,2019-03-21 12:20:00
76X,OB,Saturday,8572514,16606,2019-03-21 12:30:00
76X,OB,Saturday,8572514,14778,2019-03-21 12:57:00
76X,OB,Saturday,8572514,14728,2019-03-21 13:21:00
76X,OB,Saturday,8572513,16606,2019-03-21 14:00:00
76X,OB,Saturday,8572513,14778,2019-03-21 14:36:00
76X,OB,Saturday,8572513,14728,2019-03-21 15:15:00
76X,OB,Saturday,8572512,16606,2019-03-21 15:30:00
76X,OB,Saturday,8572512,14778,2019-03-21 16:05:00
76X,OB,Saturday,8572512,14728,2019-03-21 16:43:00
76X,OB,Saturday,8572511,16606,2019-03-21 17:00:00
76X,OB,Saturday,8572511,14778,2019-03-21 17:34:00
76X,OB,Saturday,8572511,14728,2019-03-21 18:04:00
76X,OB,Sunday,8572524,16606,2019-03-21 09:30:00
76X,OB,Sunday,8572524,14778,2019-03-21 09:54:00
76X,OB,Sunday,8572524,14728,2019-03-21 10:16:00
76X,OB,Sunday,8572530,16606,2019-03-21 10:30:00
76X,OB,Sunday,8572530,14778,2019-03-21 10:55:00
76X,OB,Sunday,8572530,14728,2019-03-21 11:18:00
76X,OB,Sunday,8572529,16606,2019-03-21 11:30:00
76X,OB,Sunday,8572529,14778,2019-03-21 11:57:00
76X,OB,Sunday,8572529,14728,2019-03-21 12:20:00
76X,OB,Sunday,8572528,16606,2019-03-21 12:30:00
76X,OB,Sunday,8572528,14778,2019-03-21 12:57:00
76X,OB,Sunday,8572528,14728,2019-03-21 13:21:00
76X,OB,Sunday,8572527,16606,2019-03-21 14:00:00
76X,OB,Sunday,8572527,14778,2019-03-21 14:36:00
76X,OB,Sunday,8572527,14728,2019-03-21 15:15:00
76X,OB,Sunday,8572526,16606,2019-03-21 15:30:00
76X,OB,Sunday,8572526,14778,2019-03-21 16:05:00
76X,OB,Sunday,8572526,14728,2019-03-21 16:43:00
76X,OB,Sunday,8572525,16606,2019-03-21 17:00:00
76X,OB,Sunday,8572525,14778,2019-03-21 17:34:00
76X,OB,Sunday,8572525,14728,2019-03-21 18:04:00
