ROUTE,direction,timetable,trip_id,stop_id,TIME
8BX,IB,Weekday,8525438,15926,2019-03-21 06:25:00
8BX,IB,Weekday,8525438,17334,2019-03-21 06:47:00
8BX,IB,Weekday,8525438,14823,2019-03-21 07:22:00
8BX,IB,Weekday,8525437,15926,2019-03-21 06:32:00
8BX,IB,Weekday,8525437,17334,2019-03-21 06:54:00
8BX,IB,Weekday,8525437,14823,2019-03-21 07:29:00
8BX,IB,Weekday,8525436,15926,2019-03-21 06:38:00
8BX,IB,Weekday,8525436,17334,2019-03-21 07:00:00
8BX,IB,Weekday,8525436,14823,2019-03-21 07:35:00
8BX,IB,Weekday,8525435,15926,2019-03-21 06:45:00
8BX,IB,Weekday,8525435,17334,2019-03-21 07:07:00
8BX,IB,Weekday,8525435,14823,2019-03-21 07:44:00
8BX,IB,Weekday,8525434,15926,2019-03-21 06:51:00
8BX,IB,Weekday,8525434,17334,2019-03-21 07:13:00
8BX,IB,Weekday,8525434,14823,2019-03-21 07:50:00
8BX,IB,Weekday,8525433,15926,2019-03-21 06:58:00
8BX,IB,Weekday,8525433,17334,2019-03-21 07:20:00
8BX,IB,Weekday,8525433,14823,2019-03-21 07:57:00
8BX,IB,Weekday,8525432,15926,2019-03-21 07:04:00
8BX,IB,Weekday,8525432,17334,2019-03-21 07:28:00
8BX,IB,Weekday,8525432,14823,2019-03-21 08:08:00
8BX,IB,Weekday,8525431,15926,2019-03-21 07:11:00
8BX,IB,Weekday,8525431,17334,2019-03-21 07:35:00
8BX,IB,Weekday,8525431,14823,2019-03-21 08:15:00
8BX,IB,Weekday,8525430,15926,2019-03-21 07:17:00
8BX,IB,Weekday,8525430,17334,2019-03-21 07:42:00
8BX,IB,Weekday,8525430,14823,2019-03-21 08:26:00
8BX,IB,Weekday,8525429,15926,2019-03-21 07:24:00
8BX,IB,Weekday,8525429,17334,2019-03-21 07:49:00
8BX,IB,Weekday,8525429,14823,2019-03-21 08:33:00
8BX,IB,Weekday,8525428,15926,2019-03-21 07:30:00
8BX,IB,Weekday,8525428,17334,2019-03-21 07:55:00
8BX,IB,Weekday,8525428,14823,2019-03-21 08:41:00
8BX,IB,Weekday,8525427,15926,2019-03-21 07:37:00
8BX,IB,Weekday,8525427,17334,2019-03-21 08:02:00
8BX,IB,Weekday,8525427,14823,2019-03-21 08:48:00
8BX,IB,Weekday,8525426,15926,2019-03-21 07:43:00
8BX,IB,Weekday,8525426,17334,2019-03-21 08:08:00
8BX,IB,Weekday,8525426,14823,2019-03-21 08:54:00
8BX,IB,Weekday,8525425,15926,2019-03-21 07:50:00
8BX,IB,Weekday,8525425,17334,2019-03-21 08:16:00
8BX,IB,Weekday,8525425,14823,2019-03-21 09:03:00
8BX,IB,Weekday,8525424,15926,2019-03-21 07:56:00
8BX,IB,Weekday,8525424,17334,2019-03-21 08:22:00
8BX,IB,Weekday,8525424,14823,2019-03-21 09:09:00
8BX,IB,Weekday,8525423,15926,2019-03-21 08:03:00
8BX,IB,Weekday,8525423,17334,2019-03-21 08:28:00
8BX,IB,Weekday,8525423,14823,2019-03-21 09:15:00
8BX,IB,Weekday,8525444,15926,2019-03-21 08:09:00
8BX,IB,Weekday,8525444,17334,2019-03-21 08:34:00
8BX,IB,Weekday,8525444,14823,2019-03-21 09:21:00
8BX,IB,Weekday,8525422,15926,2019-03-21 08:16:00
8BX,IB,Weekday,8525422,17334,2019-03-21 08:40:00
8BX,IB,Weekday,8525422,14823,2019-03-21 09:28:00
8BX,IB,Weekday,8525421,15926,2019-03-21 08:22:00
8BX,IB,Weekday,8525421,17334,2019-03-21 08:46:00
8BX,IB,Weekday,8525421,14823,2019-03-21 09:34:00
8BX,IB,Weekday,8525420,15926,2019-03-21 08:29:00
8BX,IB,Weekday,8525420,17334,2019-03-21 08:53:00
8BX,IB,Weekday,8525420,14823,2019-03-21 09:41:00
8BX,IB,Weekday,8525419,15926,2019-03-21 08:35:00
8BX,IB,Weekday,8525419,17334,2019-03-21 08:59:00
8BX,IB,Weekday,8525419,14823,2019-03-21 09:47:00
8BX,IB,Weekday,8525418,15926,2019-03-21 08:42:00
8BX,IB,Weekday,8525418,17334,2019-03-21 09:06:00
8BX,IB,Weekday,8525418,14823,2019-03-21 09:54:00
8BX,IB,Weekday,8525446,15926,2019-03-21 08:50:00
