ROUTE,direction,timetable,trip_id,stop_id,TIME
9R,IB,Weekday,8527313,16575,2019-03-21 06:00:00
9R,IB,Weekday,8527313,14895,2019-03-21 06:04:00
9R,IB,Weekday,8527313,16352,2019-03-21 06:11:00
9R,IB,Weekday,8527313,16364,2019-03-21 06:18:00
9R,IB,Weekday,8527313,16038,2019-03-21 06:25:00
9R,IB,Weekday,8527313,16026,2019-03-21 06:29:00
9R,IB,Weekday,8527313,13244,2019-03-21 06:35:00
9R,IB,Weekday,8527313,15643,2019-03-21 06:42:00
9R,IB,Weekday,8527313,15335,2019-03-21 06:51:00
9R,IB,Weekday,8527312,16575,2019-03-21 06:09:00
9R,IB,Weekday,8527312,14895,2019-03-21 06:13:00
9R,IB,Weekday,8527312,16352,2019-03-21 06:20:00
9R,IB,Weekday,8527312,16364,2019-03-21 06:27:00
9R,IB,Weekday,8527312,16038,2019-03-21 06:34:00
9R,IB,Weekday,8527312,16026,2019-03-21 06:38:00
9R,IB,Weekday,8527312,13244,2019-03-21 06:44:00
9R,IB,Weekday,8527312,15643,2019-03-21 06:51:00
9R,IB,Weekday,8527312,15335,2019-03-21 07:00:00
9R,IB,Weekday,8527311,16575,2019-03-21 06:18:00
9R,IB,Weekday,8527311,14895,2019-03-21 06:22:00
9R,IB,Weekday,8527311,16352,2019-03-21 06:30:00
9R,IB,Weekday,8527311,16364,2019-03-21 06:37:00
9R,IB,Weekday,8527311,16038,2019-03-21 06:44:00
9R,IB,Weekday,8527311,16026,2019-03-21 06:48:00
9R,IB,Weekday,8527311,13244,2019-03-21 06:55:00
9R,IB,Weekday,8527311,15643,2019-03-21 07:02:00
9R,IB,Weekday,8527311,15335,2019-03-21 07:11:00
9R,IB,Weekday,8527310,16575,2019-03-21 06:27:00
9R,IB,Weekday,8527310,14895,2019-03-21 06:31:00
9R,IB,Weekday,8527310,16352,2019-03-21 06:39:00
9R,IB,Weekday,8527310,16364,2019-03-21 06:46:00
9R,IB,Weekday,8527310,16038,2019-03-21 06:53:00
9R,IB,Weekday,8527310,16026,2019-03-21 06:57:00
9R,IB,Weekday,8527310,13244,2019-03-21 07:04:00
9R,IB,Weekday,8527310,15643,2019-03-21 07:11:00
9R,IB,Weekday,8527310,15335,2019-03-21 07:20:00
9R,IB,Weekday,8527309,16575,2019-03-21 06:36:00
9R,IB,Weekday,8527309,14895,2019-03-21 06:40:00
9R,IB,Weekday,8527309,16352,2019-03-21 06:48:00
9R,IB,Weekday,8527309,16364,2019-03-21 06:55:00
9R,IB,Weekday,8527309,16038,2019-03-21 07:03:00
9R,IB,Weekday,8527309,16026,2019-03-21 07:08:00
9R,IB,Weekday,8527309,13244,2019-03-21 07:15:00
9R,IB,Weekday,8527309,15643,2019-03-21 07:22:00
9R,IB,Weekday,8527309,15335,2019-03-21 07:31:00
9R,IB,Weekday,8527308,16575,2019-03-21 06:45:00
9R,IB,Weekday,8527308,14895,2019-03-21 06:49:00
9R,IB,Weekday,8527308,16352,2019-03-21 06:57:00
9R,IB,Weekday,8527308,16364,2019-03-21 07:04:00
9R,IB,Weekday,8527308,16038,2019-03-21 07:12:00
9R,IB,Weekday,8527308,16026,2019-03-21 07:17:00
9R,IB,Weekday,8527308,13244,2019-03-21 07:24:00
9R,IB,Weekday,8527308,15643,2019-03-21 07:32:00
9R,IB,Weekday,8527308,15335,2019-03-21 07:41:00
9R,IB,Weekday,8527307,16575,2019-03-21 06:54:00
9R,IB,Weekday,8527307,14895,2019-03-21 06:58:00
9R,IB,Weekday,8527307,16352,2019-03-21 07:06:00
9R,IB,Weekday,8527307,16364,2019-03-21 07:13:00
9R,IB,Weekday,8527307,16038,2019-03-21 07:21:00
9R,IB,Weekday,8527307,16026,2019-03-21 07:26:00
9R,IB,Weekday,8527307,13244,2019-03-21 07:33:00
9R,IB,Weekday,8527307,15643,2019-03-21 07:41:00
9R,IB,Weekday,8527307,15335,2019-03-21 07:50:00
9R,IB,Weekday,8527306,16575,2019-03-21 07:03:00
9R,IB,Weekday,8527306,14895,2019-03-21 07:07:00
9R,IB,Weekday,8527306,16352,2019-03-21 07:16:00
9R,IB,Weekday,8527306,16364,2019-03-21 07:24:00
9R,IB,Weekday,8527306,16038,2019-03-21 07:33:00
9R,IB,Weekday,8527306,16026,2019-03-21 07:38:00
9R,IB,Weekday,8527306,13244,2019-03-21 07:45:00
9R,IB,Weekday,8527306,15643,2019-03-21 07:53:00
9R,IB,Weekday,8527306,15335,2019-03-21 08:02:00
9R,IB,Weekday,8527305,16575,2019-03-21 07:12:00
9R,IB,Weekday,8527305,14895,2019-03-21 07:16:00
9R,IB,Weekday,8527305,16352,2019-03-21 07:25:00
9R,IB,Weekday,8527305,16364,2019-03-21 07:33:00
9R,IB,Weekday,8527305,16038,2019-03-21 07:42:00
9R,IB,Weekday,8527305,16026,2019-03-21 07:47:00
9R,IB,Weekday,8527305,13244,2019-03-21 07:54:00
9R,IB,Weekday,8527305,15643,2019-03-21 08:02:00
9R,IB,Weekday,8527305,15335,2019-03-21 08:11:00
9R,IB,Weekday,8527304,16575,2019-03-21 07:21:00
9R,IB,Weekday,8527304,14895,2019-03-21 07:25:00
9R,IB,Weekday,8527304,16352,2019-03-21 07:34:00
9R,IB,Weekday,8527304,16364,2019-03-21 07:43:00
9R,IB,Weekday,8527304,16038,2019-03-21 07:53:00
9R,IB,Weekday,8527304,16026,2019-03-21 07:58:00
9R,IB,Weekday,8527304,13244,2019-03-21 08:05:00
9R,IB,Weekday,8527304,15643,2019-03-21 08:13:00
9R,IB,Weekday,8527304,15335,2019-03-21 08:22:00
9R,IB,Weekday,8527303,16575,2019-03-21 07:29:00
9R,IB,Weekday,8527303,14895,2019-03-21 07:33:00
9R,IB,Weekday,8527303,16352,2019-03-21 07:42:00
9R,IB,Weekday,8527303,16364,2019-03-21 07:51:00
9R,IB,Weekday,8527303,16038,2019-03-21 08:02:00
9R,IB,Weekday,8527303,16026,2019-03-21 08:07:00
9R,IB,Weekday,8527303,13244,2019-03-21 08:14:00
9R,IB,Weekday,8527303,15643,2019-03-21 08:23:00
9R,IB,Weekday,8527303,15335,2019-03-21 08:32:00
9R,IB,Weekday,8527302,16575,2019-03-21 07:38:00
9R,IB,Weekday,8527302,14895,2019-03-21 07:42:00
9R,IB,Weekday,8527302,16352,2019-03-21 07:52:00
9R,IB,Weekday,8527302,16364,2019-03-21 08:02:00
9R,IB,Weekday,8527302,16038,2019-03-21 08:13:00
9R,IB,Weekday,8527302,16026,2019-03-21 08:18:00
9R,IB,Weekday,8527302,13244,2019-03-21 08:25:00
9R,IB,Weekday,8527302,15643,2019-03-21 08:34:00
9R,IB,Weekday,8527302,15335,2019-03-21 08:43:00
