ROUTE,direction,timetable,trip_id,stop_id,TIME
F,IB,Saturday,8574161,13311,2019-03-21 05:25:00
F,IB,Saturday,8574161,15662,2019-03-21 05:29:00
F,IB,Saturday,8574161,15692,2019-03-21 05:34:00
F,IB,Saturday,8574161,15650,2019-03-21 05:38:00
F,IB,Saturday,8574161,15643,2019-03-21 05:42:00
F,IB,Saturday,8574161,17264,2019-03-21 05:46:00
F,IB,Saturday,8574161,14727,2019-03-21 05:49:00
F,IB,Saturday,8574161,14530,2019-03-21 05:57:00
F,IB,Saturday,8574161,15184,2019-03-21 06:01:00
F,IB,Saturday,8574160,13311,2019-03-21 05:39:00
F,IB,Saturday,8574160,15662,2019-03-21 05:43:00
F,IB,Saturday,8574160,15692,2019-03-21 05:48:00
F,IB,Saturday,8574160,15650,2019-03-21 05:52:00
F,IB,Saturday,8574160,15643,2019-03-21 05:56:00
F,IB,Saturday,8574160,17264,2019-03-21 06:00:00
F,IB,Saturday,8574160,14727,2019-03-21 06:04:00
F,IB,Saturday,8574160,14530,2019-03-21 06:12:00
F,IB,Saturday,8574160,15184,2019-03-21 06:16:00
F,IB,Saturday,8574159,13311,2019-03-21 05:50:00
F,IB,Saturday,8574159,15662,2019-03-21 05:54:00
F,IB,Saturday,8574159,15692,2019-03-21 05:59:00
F,IB,Saturday,8574159,15650,2019-03-21 06:03:00
F,IB,Saturday,8574159,15643,2019-03-21 06:07:00
F,IB,Saturday,8574159,17264,2019-03-21 06:11:00
F,IB,Saturday,8574159,14727,2019-03-21 06:15:00
F,IB,Saturday,8574159,14530,2019-03-21 06:23:00
F,IB,Saturday,8574159,15184,2019-03-21 06:27:00
F,IB,Saturday,8574198,13311,2019-03-21 05:57:00
F,IB,Saturday,8574198,15662,2019-03-21 06:01:00
F,IB,Saturday,8574198,15692,2019-03-21 06:07:00
F,IB,Saturday,8574198,15650,2019-03-21 06:11:00
F,IB,Saturday,8574198,15643,2019-03-21 06:15:00
F,IB,Saturday,8574198,17264,2019-03-21 06:19:00
F,IB,Saturday,8574198,14727,2019-03-21 06:23:00
F,IB,Saturday,8574198,14530,2019-03-21 06:31:00
F,IB,Saturday,8574198,15184,2019-03-21 06:35:00
F,IB,Saturday,8574202,13311,2019-03-21 06:12:00
F,IB,Saturday,8574202,15662,2019-03-21 06:16:00
F,IB,Saturday,8574202,15692,2019-03-21 06:22:00
F,IB,Saturday,8574202,15650,2019-03-21 06:26:00
F,IB,Saturday,8574202,15643,2019-03-21 06:30:00
F,IB,Saturday,8574202,17264,2019-03-21 06:35:00
F,IB,Saturday,8574202,14727,2019-03-21 06:39:00
F,IB,Saturday,8574202,14530,2019-03-21 06:48:00
F,IB,Saturday,8574202,15184,2019-03-21 06:52:00
F,IB,Saturday,8574201,13311,2019-03-21 06:22:00
F,IB,Saturday,8574201,15662,2019-03-21 06:26:00
F,IB,Saturday,8574201,15692,2019-03-21 06:32:00
F,IB,Saturday,8574201,15650,2019-03-21 06:36:00
F,IB,Saturday,8574201,15643,2019-03-21 06:40:00
F,IB,Saturday,8574201,17264,2019-03-21 06:45:00
F,IB,Saturday,8574201,14727,2019-03-21 06:49:00
F,IB,Saturday,8574201,14530,2019-03-21 06:58:00
F,IB,Saturday,8574201,15184,2019-03-21 07:02:00
F,IB,Saturday,8574200,13311,2019-03-21 06:31:00
F,IB,Saturday,8574200,15662,2019-03-21 06:35:00
F,IB,Saturday,8574200,15692,2019-03-21 06:41:00
F,IB,Saturday,8574200,15650,2019-03-21 06:45:00
F,IB,Saturday,8574200,15643,2019-03-21 06:49:00
F,IB,Saturday,8574200,17264,2019-03-21 06:54:00
F,IB,Saturday,8574200,14727,2019-03-21 06:58:00
F,IB,Saturday,8574200,14530,2019-03-21 07:07:00
F,IB,Saturday,8574200,15184,2019-03-21 07:11:00
F,IB,Saturday,8574158,13311,2019-03-21 06:40:00
F,IB,Saturday,8574158,15662,2019-03-21 06:44:00
F,IB,Saturday,8574158,15692,2019-03-21 06:50:00
F,IB,Saturday,8574158,15650,2019-03-21 06:54:00
F,IB,Saturday,8574158,15643,2019-03-21 06:58:00
F,IB,Saturday,8574158,17264,2019-03-21 07:03:00
F,IB,Saturday,8574158,14727,2019-03-21 07:07:00
F,IB,Saturday,8574158,14530,2019-03-21 07:16:00
F,IB,Saturday,8574158,15184,2019-03-21 07:20:00
F,IB,Saturday,8574157,13311,2019-03-21 06:49:00
F,IB,Saturday,8574157,15662,2019-03-21 06:53:00
F,IB,Saturday,8574157,15692,2019-03-21 06:59:00
F,IB,Saturday,8574157,15650,2019-03-21 07:03:00
F,IB,Saturday,8574157,15643,2019-03-21 07:07:00
F,IB,Saturday,8574157,17264,2019-03-21 07:12:00
F,IB,Saturday,8574157,14727,2019-03-21 07:16:00
F,IB,Saturday,8574157,14530,2019-03-21 07:25:00
F,IB,Saturday,8574157,15184,2019-03-21 07:29:00
F,IB,Saturday,8574156,13311,2019-03-21 06:58:00
F,IB,Saturday,8574156,15662,2019-03-21 07:02:00
F,IB,Saturday,8574156,15692,2019-03-21 07:08:00
F,IB,Saturday,8574156,15650,2019-03-21 07:12:00
F,IB,Saturday,8574156,15643,2019-03-21 07:16:00
F,IB,Saturday,8574156,17264,2019-03-21 07:21:00
