ROUTE,direction,timetable,trip_id,stop_id,TIME
L,IB,Saturday,8581537,16932,2019-03-21 04:58:00
L,IB,Saturday,8581537,16641,2019-03-21 05:03:00
L,IB,Saturday,8581537,16617,2019-03-21 05:09:00
L,IB,Saturday,8581537,17058,2019-03-21 05:15:00
L,IB,Saturday,8581536,16932,2019-03-21 05:16:00
L,IB,Saturday,8581536,16641,2019-03-21 05:21:00
L,IB,Saturday,8581536,16617,2019-03-21 05:27:00
L,IB,Saturday,8581536,17058,2019-03-21 05:33:00
L,IB,Saturday,8581561,16932,2019-03-21 05:36:00
L,IB,Saturday,8581561,16641,2019-03-21 05:41:00
L,IB,Saturday,8581561,16617,2019-03-21 05:47:00
L,IB,Saturday,8581561,16740,2019-03-21 05:53:00
L,IB,Saturday,8581561,15728,2019-03-21 05:59:00
L,IB,Saturday,8581561,15419,2019-03-21 06:02:00
L,IB,Saturday,8581561,16992,2019-03-21 06:08:00
L,IB,Saturday,8581560,16932,2019-03-21 05:52:00
L,IB,Saturday,8581560,16641,2019-03-21 05:57:00
L,IB,Saturday,8581560,16617,2019-03-21 06:03:00
L,IB,Saturday,8581560,16740,2019-03-21 06:09:00
L,IB,Saturday,8581560,15728,2019-03-21 06:15:00
L,IB,Saturday,8581560,15419,2019-03-21 06:18:00
L,IB,Saturday,8581560,16992,2019-03-21 06:24:00
L,IB,Saturday,8581559,16932,2019-03-21 06:12:00
L,IB,Saturday,8581559,16641,2019-03-21 06:17:00
L,IB,Saturday,8581559,16617,2019-03-21 06:23:00
L,IB,Saturday,8581559,16740,2019-03-21 06:29:00
L,IB,Saturday,8581559,15728,2019-03-21 06:35:00
L,IB,Saturday,8581559,15419,2019-03-21 06:38:00
L,IB,Saturday,8581559,16992,2019-03-21 06:44:00
L,IB,Saturday,8581558,16932,2019-03-21 06:29:00
L,IB,Saturday,8581558,16641,2019-03-21 06:34:00
L,IB,Saturday,8581558,16617,2019-03-21 06:40:00
L,IB,Saturday,8581558,16740,2019-03-21 06:46:00
L,IB,Saturday,8581558,15728,2019-03-21 06:52:00
L,IB,Saturday,8581558,15419,2019-03-21 06:55:00
L,IB,Saturday,8581558,16992,2019-03-21 07:01:00
L,IB,Saturday,8581551,16932,2019-03-21 06:46:00
L,IB,Saturday,8581551,16641,2019-03-21 06:51:00
L,IB,Saturday,8581551,16617,2019-03-21 06:57:00
L,IB,Saturday,8581551,16740,2019-03-21 07:03:00
L,IB,Saturday,8581551,15728,2019-03-21 07:09:00
L,IB,Saturday,8581551,15419,2019-03-21 07:12:00
L,IB,Saturday,8581551,16992,2019-03-21 07:18:00
L,IB,Saturday,8581557,16932,2019-03-21 06:59:00
L,IB,Saturday,8581557,16641,2019-03-21 07:05:00
L,IB,Saturday,8581557,16617,2019-03-21 07:11:00
L,IB,Saturday,8581557,16740,2019-03-21 07:17:00
L,IB,Saturday,8581557,15728,2019-03-21 07:23:00
L,IB,Saturday,8581557,15419,2019-03-21 07:26:00
L,IB,Saturday,8581557,16992,2019-03-21 07:32:00
L,IB,Saturday,8581619,16932,2019-03-21 07:16:00
L,IB,Saturday,8581619,16641,2019-03-21 07:22:00
L,IB,Saturday,8581619,16617,2019-03-21 07:28:00
L,IB,Saturday,8581619,16740,2019-03-21 07:34:00
L,IB,Saturday,8581619,15728,2019-03-21 07:40:00
L,IB,Saturday,8581619,15419,2019-03-21 07:43:00
L,IB,Saturday,8581619,16992,2019-03-21 07:49:00
L,IB,Saturday,8581618,16932,2019-03-21 07:30:00
L,IB,Saturday,8581618,16641,2019-03-21 07:36:00
L,IB,Saturday,8581618,16617,2019-03-21 07:42:00
L,IB,Saturday,8581618,16740,2019-03-21 07:48:00
L,IB,Saturday,8581618,15728,2019-03-21 07:54:00
L,IB,Saturday,8581618,15419,2019-03-21 07:57:00
L,IB,Saturday,8581618,16992,2019-03-21 08:03:00
L,IB,Saturday,8581538,16932,2019-03-21 07:42:00
L,IB,Saturday,8581538,16641,2019-03-21 07:48:00
L,IB,Saturday,8581538,16617,2019-03-21 07:54:00
L,IB,Saturday,8581538,16740,2019-03-21 08:00:00
L,IB,Saturday,8581538,15728,2019-03-21 08:06:00
L,IB,Saturday,8581538,15419,2019-03-21 08:09:00
L,IB,Saturday,8581538,16992,2019-03-21 08:15:00
L,IB,Saturday,8581617,16932,2019-03-21 07:52:00
L,IB,Saturday,8581617,16641,2019-03-21 07:58:00
L,IB,Saturday,8581617,16617,2019-03-21 08:04:00
L,IB,Saturday,8581617,16740,2019-03-21 08:10:00
L,IB,Saturday,8581617,15728,2019-03-21 08:16:00
L,IB,Saturday,8581617,15419,2019-03-21 08:19:00
L,IB,Saturday,8581617,16992,2019-03-21 08:25:00
L,IB,Saturday,8581616,16932,2019-03-21 08:02:00
L,IB,Saturday,8581616,16641,2019-03-21 08:08:00
L,IB,Saturday,8581616,16617,2019-03-21 08:14:00
L,IB,Saturday,8581616,16740,2019-03-21 08:20:00
L,IB,Saturday,8581616,15728,2019-03-21 08:26:00
L,IB,Saturday,8581616,15419,2019-03-21 08:29:00
L,IB,Saturday,8581616,16992,2019-03-21 08:35:00
L,IB,Saturday,8581615,16932,2019-03-21 08:12:00
L,IB,Saturday,8581615,16641,2019-03-21 08:18:00
L,IB,Saturday,8581615,16617,2019-03-21 08:24:00
L,IB,Saturday,8581615,16740,2019-03-21 08:30:00
L,IB,Saturday,8581615,15728,2019-03-21 08:36:00
L,IB,Saturday,8581615,15419,2019-03-21 08:39:00
L,IB,Saturday,8581615,16992,2019-03-21 08:45:00
L,IB,Saturday,8581614,16932,2019-03-21 08:22:00
L,IB,Saturday,8581614,16641,2019-03-21 08:28:00
L,IB,Saturday,8581614,16617,2019-03-21 08:34:00
L,IB,Saturday,8581614,16740,2019-03-21 08:40:00
L,IB,Saturday,8581614,15728,2019-03-21 08:46:00
