ROUTE,direction,timetable,trip_id,stop_id,TIME
N,IB,Saturday,8586311,15223,2019-03-21 05:16:00
N,IB,Saturday,8586311,15225,2019-03-21 05:21:00
N,IB,Saturday,8586311,15200,2019-03-21 05:28:00
N,IB,Saturday,8586311,13913,2019-03-21 05:37:00
N,IB,Saturday,8586311,14448,2019-03-21 05:43:00
N,IB,Saturday,8586361,15223,2019-03-21 05:27:00
N,IB,Saturday,8586361,15225,2019-03-21 05:32:00
N,IB,Saturday,8586361,15200,2019-03-21 05:39:00
N,IB,Saturday,8586361,13913,2019-03-21 05:48:00
N,IB,Saturday,8586361,14448,2019-03-21 05:54:00
N,IB,Saturday,8586361,15419,2019-03-21 05:58:00
N,IB,Saturday,8586361,16992,2019-03-21 06:04:00
N,IB,Saturday,8586361,14509,2019-03-21 06:07:00
N,IB,Saturday,8586361,15239,2019-03-21 06:13:00
N,IB,Saturday,8586312,15223,2019-03-21 05:51:00
N,IB,Saturday,8586312,15225,2019-03-21 05:56:00
N,IB,Saturday,8586312,15200,2019-03-21 06:03:00
N,IB,Saturday,8586312,13913,2019-03-21 06:12:00
N,IB,Saturday,8586312,14448,2019-03-21 06:18:00
N,IB,Saturday,8586312,15419,2019-03-21 06:22:00
N,IB,Saturday,8586312,16992,2019-03-21 06:28:00
N,IB,Saturday,8586312,14509,2019-03-21 06:31:00
N,IB,Saturday,8586312,15239,2019-03-21 06:38:00
N,IB,Saturday,8586360,15223,2019-03-21 06:08:00
N,IB,Saturday,8586360,15225,2019-03-21 06:13:00
N,IB,Saturday,8586360,15200,2019-03-21 06:20:00
N,IB,Saturday,8586360,13913,2019-03-21 06:29:00
N,IB,Saturday,8586360,14448,2019-03-21 06:35:00
N,IB,Saturday,8586360,15419,2019-03-21 06:39:00
N,IB,Saturday,8586360,16992,2019-03-21 06:45:00
N,IB,Saturday,8586360,14509,2019-03-21 06:48:00
N,IB,Saturday,8586360,15239,2019-03-21 06:56:00
N,IB,Saturday,8586322,15223,2019-03-21 06:27:00
N,IB,Saturday,8586322,15225,2019-03-21 06:32:00
N,IB,Saturday,8586322,15200,2019-03-21 06:39:00
N,IB,Saturday,8586322,13913,2019-03-21 06:48:00
N,IB,Saturday,8586322,14448,2019-03-21 06:54:00
N,IB,Saturday,8586322,15419,2019-03-21 06:58:00
N,IB,Saturday,8586322,16992,2019-03-21 07:04:00
N,IB,Saturday,8586322,14509,2019-03-21 07:07:00
N,IB,Saturday,8586322,15239,2019-03-21 07:15:00
N,IB,Saturday,8586359,15223,2019-03-21 06:42:00
N,IB,Saturday,8586359,15225,2019-03-21 06:47:00
N,IB,Saturday,8586359,15200,2019-03-21 06:54:00
N,IB,Saturday,8586359,13913,2019-03-21 07:03:00
N,IB,Saturday,8586359,14448,2019-03-21 07:10:00
N,IB,Saturday,8586359,15419,2019-03-21 07:14:00
N,IB,Saturday,8586359,16992,2019-03-21 07:20:00
N,IB,Saturday,8586359,14509,2019-03-21 07:23:00
N,IB,Saturday,8586359,15239,2019-03-21 07:31:00
N,IB,Saturday,8586358,15223,2019-03-21 06:56:00
N,IB,Saturday,8586358,15225,2019-03-21 07:01:00
N,IB,Saturday,8586358,15200,2019-03-21 07:08:00
N,IB,Saturday,8586358,13913,2019-03-21 07:17:00
