ROUTE,direction,timetable,trip_id,stop_id,TIME
PH,IB,Saturday,8570534,16924,2019-03-21 05:48:00
PH,IB,Saturday,8570534,16064,2019-03-21 05:57:00
PH,IB,Saturday,8570465,15063,2019-03-21 05:52:00
PH,IB,Saturday,8570465,16924,2019-03-21 06:02:00
PH,IB,Saturday,8570465,16064,2019-03-21 06:11:00
PH,IB,Saturday,8570466,15063,2019-03-21 06:12:00
PH,IB,Saturday,8570466,16924,2019-03-21 06:22:00
PH,IB,Saturday,8570466,16064,2019-03-21 06:31:00
PH,IB,Saturday,8570467,15063,2019-03-21 06:32:00
PH,IB,Saturday,8570467,16924,2019-03-21 06:42:00
PH,IB,Saturday,8570467,16064,2019-03-21 06:51:00
PH,IB,Saturday,8570468,15063,2019-03-21 06:49:00
PH,IB,Saturday,8570468,16924,2019-03-21 06:59:00
PH,IB,Saturday,8570468,16064,2019-03-21 07:08:00
PH,IB,Saturday,8570477,15063,2019-03-21 07:02:00
PH,IB,Saturday,8570477,16924,2019-03-21 07:12:00
PH,IB,Saturday,8570477,16064,2019-03-21 07:21:00
PH,IB,Saturday,8570478,15063,2019-03-21 07:12:00
PH,IB,Saturday,8570478,16924,2019-03-21 07:22:00
PH,IB,Saturday,8570478,16064,2019-03-21 07:31:00
PH,IB,Saturday,8570437,15063,2019-03-21 07:22:00
PH,IB,Saturday,8570437,16924,2019-03-21 07:32:00
PH,IB,Saturday,8570437,16064,2019-03-21 07:41:00
PH,IB,Saturday,8570485,15063,2019-03-21 07:32:00
PH,IB,Saturday,8570485,16924,2019-03-21 07:42:00
PH,IB,Saturday,8570485,16064,2019-03-21 07:51:00
PH,IB,Saturday,8570438,15063,2019-03-21 07:42:00
PH,IB,Saturday,8570438,16924,2019-03-21 07:52:00
PH,IB,Saturday,8570438,16064,2019-03-21 08:01:00
PH,IB,Saturday,8570487,15063,2019-03-21 07:52:00
PH,IB,Saturday,8570487,16924,2019-03-21 08:02:00
PH,IB,Saturday,8570487,16064,2019-03-21 08:11:00
PH,IB,Saturday,8570488,15063,2019-03-21 08:02:00
PH,IB,Saturday,8570488,16924,2019-03-21 08:12:00
PH,IB,Saturday,8570488,16064,2019-03-21 08:21:00
PH,IB,Saturday,8570543,15063,2019-03-21 08:12:00
PH,IB,Saturday,8570543,16924,2019-03-21 08:22:00
PH,IB,Saturday,8570543,16064,2019-03-21 08:31:00
PH,IB,Saturday,8570544,15063,2019-03-21 08:22:00
PH,IB,Saturday,8570544,16924,2019-03-21 08:32:00
PH,IB,Saturday,8570544,16064,2019-03-21 08:41:00
PH,IB,Saturday,8570545,15063,2019-03-21 08:32:00
PH,IB,Saturday,8570545,16924,2019-03-21 08:42:00
PH,IB,Saturday,8570545,16064,2019-03-21 08:51:00
PH,IB,Saturday,8570546,15063,2019-03-21 08:42:00
PH,IB,Saturday,8570546,16924,2019-03-21 08:52:00
PH,IB,Saturday,8570546,16064,2019-03-21 09:01:00
PH,IB,Saturday,8570525,15063,2019-03-21 08:52:00
PH,IB,Saturday,8570525,16924,2019-03-21 09:02:00
PH,IB,Saturday,8570525,16064,2019-03-21 09:11:00
PH,IB,Saturday,8570547,15063,2019-03-21 09:02:00
PH,IB,Saturday,8570547,16924,2019-03-21 09:12:00
PH,IB,Saturday,8570547,16064,2019-03-21 09:21:00
PH,IB,Saturday,8570523,15063,2019-03-21 09:12:00
PH,IB,Saturday,8570523,16924,2019-03-21 09:22:00
PH,IB,Saturday,8570523,16064,2019-03-21 09:31:00
PH,IB,Saturday,8570554,15063,2019-03-21 09:22:00
PH,IB,Saturday,8570554,16924,2019-03-21 09:32:00
PH,IB,Saturday,8570554,16064,2019-03-21 09:41:00
PH,IB,Saturday,8570441,15063,2019-03-21 09:29:00
PH,IB,Saturday,8570441,16924,2019-03-21 09:39:00
PH,IB,Saturday,8570441,16064,2019-03-21 09:48:00
PH,IB,Saturday,8570497,15063,2019-03-21 09:39:00
PH,IB,Saturday,8570497,16924,2019-03-21 09:49:00
PH,IB,Saturday,8570497,16064,2019-03-21 09:58:00
PH,IB,Saturday,8570442,15063,2019-03-21 09:47:00
PH,IB,Saturday,8570442,16924,2019-03-21 09:57:00
PH,IB,Saturday,8570442,16064,2019-03-21 10:06:00
PH,IB,Saturday,8570498,15063,2019-03-21 09:55:00
PH,IB,Saturday,8570498,16924,2019-03-21 10:05:00
PH,IB,Saturday,8570498,16064,2019-03-21 10:14:00
PH,IB,Saturday,8570515,15063,2019-03-21 10:03:00
PH,IB,Saturday,8570515,16924,2019-03-21 10:13:00
PH,IB,Saturday,8570515,16064,2019-03-21 10:22:00
PH,IB,Saturday,8570516,15063,2019-03-21 10:11:00
PH,IB,Saturday,8570516,16924,2019-03-21 10:21:00
PH,IB,Saturday,8570516,16064,2019-03-21 10:30:00
PH,IB,Saturday,8570517,15063,2019-03-21 10:19:00
PH,IB,Saturday,8570517,16924,2019-03-21 10:29:00
PH,IB,Saturday,8570517,16064,2019-03-21 10:39:00
PH,IB,Saturday,8570518,15063,2019-03-21 10:26:00
PH,IB,Saturday,8570518,16924,2019-03-21 10:36:00
PH,IB,Saturday,8570518,16064,2019-03-21 10:46:00
PH,IB,Saturday,8570519,15063,2019-03-21 10:34:00
PH,IB,Saturday,8570519,16924,2019-03-21 10:44:00
PH,IB,Saturday,8570519,16064,2019-03-21 10:54:00
PH,IB,Saturday,8570446,15063,2019-03-21 10:42:00
PH,IB,Saturday,8570446,16924,2019-03-21 10:52:00
PH,IB,Saturday,8570446,16064,2019-03-21 11:02:00
