ROUTE,direction,timetable,trip_id,stop_id,TIME
S,IB,Weekday,8588527,16740,2019-03-21 07:36:00
S,IB,Weekday,8588527,15728,2019-03-21 07:43:00
S,IB,Weekday,8588527,15419,2019-03-21 07:48:00
S,IB,Weekday,8588527,16992,2019-03-21 07:54:00
S,IB,Weekday,8588526,16740,2019-03-21 07:54:00
S,IB,Weekday,8588526,15728,2019-03-21 08:01:00
S,IB,Weekday,8588526,15419,2019-03-21 08:06:00
S,IB,Weekday,8588526,16992,2019-03-21 08:13:00
S,IB,Weekday,8588525,16617,2019-03-21 08:26:00
S,IB,Weekday,8588525,16740,2019-03-21 08:33:00
S,IB,Weekday,8588525,15728,2019-03-21 08:40:00
S,IB,Weekday,8588525,15419,2019-03-21 08:45:00
S,IB,Weekday,8588525,16992,2019-03-21 08:52:00
S,IB,Weekday,8588525,14509,2019-03-21 08:55:00
S,IB,Weekday,8588525,15239,2019-03-21 09:04:00
S,IB,Weekday,8588524,16617,2019-03-21 08:46:00
S,IB,Weekday,8588524,16740,2019-03-21 08:53:00
S,IB,Weekday,8588524,15728,2019-03-21 09:00:00
S,IB,Weekday,8588524,15419,2019-03-21 09:05:00
S,IB,Weekday,8588524,16992,2019-03-21 09:12:00
S,IB,Weekday,8588524,14509,2019-03-21 09:15:00
S,IB,Weekday,8588524,15239,2019-03-21 09:24:00
S,IB,Weekday,8588511,16617,2019-03-21 10:06:00
S,IB,Weekday,8588511,16740,2019-03-21 10:13:00
S,IB,Weekday,8588511,15728,2019-03-21 10:20:00
S,IB,Weekday,8588511,15419,2019-03-21 10:24:00
S,IB,Weekday,8588511,16992,2019-03-21 10:31:00
S,IB,Weekday,8588511,14509,2019-03-21 10:34:00
S,IB,Weekday,8588511,15239,2019-03-21 10:43:00
S,IB,Weekday,8588511,13410,2019-03-21 10:51:00
S,IB,Weekday,8588510,16617,2019-03-21 10:27:00
S,IB,Weekday,8588510,16740,2019-03-21 10:34:00
S,IB,Weekday,8588510,15728,2019-03-21 10:41:00
S,IB,Weekday,8588510,15419,2019-03-21 10:45:00
S,IB,Weekday,8588510,16992,2019-03-21 10:52:00
S,IB,Weekday,8588510,14509,2019-03-21 10:55:00
S,IB,Weekday,8588510,15239,2019-03-21 11:04:00
S,IB,Weekday,8588510,13410,2019-03-21 11:12:00
S,IB,Weekday,8588508,16617,2019-03-21 13:19:00
S,IB,Weekday,8588508,16740,2019-03-21 13:26:00
S,IB,Weekday,8588508,15728,2019-03-21 13:33:00
S,IB,Weekday,8588508,15419,2019-03-21 13:37:00
S,IB,Weekday,8588508,16992,2019-03-21 13:44:00
S,IB,Weekday,8588508,14509,2019-03-21 13:47:00
S,IB,Weekday,8588508,15239,2019-03-21 13:56:00
S,IB,Weekday,8588509,16617,2019-03-21 13:39:00
S,IB,Weekday,8588509,16740,2019-03-21 13:46:00
S,IB,Weekday,8588509,15728,2019-03-21 13:53:00
S,IB,Weekday,8588509,15419,2019-03-21 13:57:00
S,IB,Weekday,8588509,16992,2019-03-21 14:04:00
S,IB,Weekday,8588509,14509,2019-03-21 14:07:00
S,IB,Weekday,8588509,15239,2019-03-21 14:16:00
S,IB,Weekday,8588515,16617,2019-03-21 14:19:00
S,IB,Weekday,8588515,16740,2019-03-21 14:26:00
S,IB,Weekday,8588515,15728,2019-03-21 14:33:00
S,IB,Weekday,8588515,15419,2019-03-21 14:37:00
S,IB,Weekday,8588515,16992,2019-03-21 14:44:00
S,IB,Weekday,8588514,16617,2019-03-21 14:37:00
S,IB,Weekday,8588514,16740,2019-03-21 14:44:00
S,IB,Weekday,8588514,15728,2019-03-21 14:51:00
S,IB,Weekday,8588514,15419,2019-03-21 14:55:00
S,IB,Weekday,8588514,16992,2019-03-21 15:02:00
S,IB,Weekday,8588513,16617,2019-03-21 15:00:00
S,IB,Weekday,8588513,16740,2019-03-21 15:07:00
S,IB,Weekday,8588513,15728,2019-03-21 15:14:00
S,IB,Weekday,8588513,15419,2019-03-21 15:18:00
S,IB,Weekday,8588513,16992,2019-03-21 15:25:00
S,IB,Weekday,8588521,16617,2019-03-21 15:18:00
