ROUTE,direction,timetable,trip_id,stop_id,TIME
T-OWL,IB,Saturday,8590349,16498,2019-03-21 04:49:00
T-OWL,IB,Saturday,8590349,17366,2019-03-21 04:57:00
T-OWL,IB,Saturday,8590349,13123,2019-03-21 05:09:00
T-OWL,IB,Saturday,8590349,13115,2019-03-21 05:16:00
T-OWL,IB,Saturday,8590349,17179,2019-03-21 05:23:00
T-OWL,IB,Saturday,8590350,15692,2019-03-21 04:59:00
T-OWL,IB,Saturday,8590350,16498,2019-03-21 05:10:00
T-OWL,IB,Saturday,8590350,17366,2019-03-21 05:18:00
T-OWL,IB,Saturday,8590350,13123,2019-03-21 05:30:00
T-OWL,IB,Saturday,8590350,13115,2019-03-21 05:37:00
T-OWL,IB,Saturday,8590350,17179,2019-03-21 05:44:00
T-OWL,IB,Saturday,8590354,15692,2019-03-21 05:19:00
T-OWL,IB,Saturday,8590354,16498,2019-03-21 05:30:00
T-OWL,IB,Saturday,8590354,17366,2019-03-21 05:38:00
T-OWL,IB,Saturday,8590354,13123,2019-03-21 05:50:00
T-OWL,IB,Saturday,8590354,13115,2019-03-21 05:57:00
T-OWL,IB,Saturday,8590354,17179,2019-03-21 06:04:00
T-OWL,IB,Saturday,8590352,15692,2019-03-21 05:39:00
T-OWL,IB,Saturday,8590352,16498,2019-03-21 05:50:00
T-OWL,IB,Saturday,8590352,17366,2019-03-21 05:58:00
T-OWL,IB,Saturday,8590352,13123,2019-03-21 06:10:00
T-OWL,IB,Saturday,8590352,13115,2019-03-21 06:17:00
T-OWL,IB,Saturday,8590352,17179,2019-03-21 06:24:00
T-OWL,IB,Saturday,8590353,15692,2019-03-21 05:59:00
T-OWL,IB,Saturday,8590353,16498,2019-03-21 06:10:00
T-OWL,IB,Saturday,8590353,17366,2019-03-21 06:18:00
T-OWL,IB,Saturday,8590353,13123,2019-03-21 06:30:00
T-OWL,IB,Saturday,8590353,13115,2019-03-21 06:37:00
T-OWL,IB,Saturday,8590353,17179,2019-03-21 06:44:00
T-OWL,IB,Saturday,8590351,15692,2019-03-21 06:19:00
T-OWL,IB,Saturday,8590351,16498,2019-03-21 06:30:00
T-OWL,IB,Saturday,8590351,17366,2019-03-21 06:38:00
T-OWL,IB,Saturday,8590351,13123,2019-03-21 06:50:00
T-OWL,IB,Saturday,8590351,13115,2019-03-21 06:57:00
T-OWL,IB,Saturday,8590351,17179,2019-03-21 07:04:00
T-OWL,IB,Sunday,8590371,16498,2019-03-21 04:49:00
T-OWL,IB,Sunday,8590371,17366,2019-03-21 04:57:00
T-OWL,IB,Sunday,8590371,13123,2019-03-21 05:09:00
T-OWL,IB,Sunday,8590371,13115,2019-03-21 05:16:00
T-OWL,IB,Sunday,8590371,17179,2019-03-21 05:23:00
T-OWL,IB,Sunday,8590370,15692,2019-03-21 04:59:00
T-OWL,IB,Sunday,8590370,16498,2019-03-21 05:10:00
T-OWL,IB,Sunday,8590370,17366,2019-03-21 05:18:00
T-OWL,IB,Sunday,8590370,13123,2019-03-21 05:30:00
T-OWL,IB,Sunday,8590370,13115,2019-03-21 05:37:00
T-OWL,IB,Sunday,8590370,17179,2019-03-21 05:44:00
T-OWL,IB,Sunday,8590369,15692,2019-03-21 05:19:00
T-OWL,IB,Sunday,8590369,16498,2019-03-21 05:30:00
T-OWL,IB,Sunday,8590369,17366,2019-03-21 05:38:00
T-OWL,IB,Sunday,8590369,13123,2019-03-21 05:50:00
T-OWL,IB,Sunday,8590369,13115,2019-03-21 05:57:00
T-OWL,IB,Sunday,8590369,17179,2019-03-21 06:04:00
T-OWL,IB,Sunday,8590368,15692,2019-03-21 05:39:00
T-OWL,IB,Sunday,8590368,16498,2019-03-21 05:50:00
T-OWL,IB,Sunday,8590368,17366,2019-03-21 05:58:00
T-OWL,IB,Sunday,8590368,13123,2019-03-21 06:10:00
T-OWL,IB,Sunday,8590368,13115,2019-03-21 06:17:00
T-OWL,IB,Sunday,8590368,17179,2019-03-21 06:24:00
T-OWL,IB,Sunday,8590367,15692,2019-03-21 05:59:00
T-OWL,IB,Sunday,8590367,16498,2019-03-21 06:10:00
T-OWL,IB,Sunday,8590367,17366,2019-03-21 06:18:00
T-OWL,IB,Sunday,8590367,13123,2019-03-21 06:30:00
T-OWL,IB,Sunday,8590367,13115,2019-03-21 06:37:00
T-OWL,IB,Sunday,8590367,17179,2019-03-21 06:44:00
T-OWL,IB,Sunday,8590366,15692,2019-03-21 06:19:00
T-OWL,IB,Sunday,8590366,16498,2019-03-21 06:30:00
T-OWL,IB,Sunday,8590366,17366,2019-03-21 06:38:00
T-OWL,IB,Sunday,8590366,13123,2019-03-21 06:50:00
T-OWL,IB,Sunday,8590366,13115,2019-03-21 06:57:00
T-OWL,IB,Sunday,8590366,17179,2019-03-21 07:04:00
T-OWL,IB,Sunday,8590365,15692,2019-03-21 06:39:00
T-OWL,IB,Sunday,8590365,16498,2019-03-21 06:50:00
T-OWL,IB,Sunday,8590365,17366,2019-03-21 06:58:00
T-OWL,IB,Sunday,8590365,13123,2019-03-21 07:10:00
T-OWL,IB,Sunday,8590365,13115,2019-03-21 07:17:00
T-OWL,IB,Sunday,8590365,17179,2019-03-21 07:24:00
T-OWL,IB,Sunday,8590364,15692,2019-03-21 06:59:00
T-OWL,IB,Sunday,8590364,16498,2019-03-21 07:10:00
T-OWL,IB,Sunday,8590364,17366,2019-03-21 07:18:00
T-OWL,IB,Sunday,8590364,13123,2019-03-21 07:30:00
T-OWL,IB,Sunday,8590364,13115,2019-03-21 07:37:00
T-OWL,IB,Sunday,8590364,17179,2019-03-21 07:44:00
T-OWL,IB,Sunday,8590363,15692,2019-03-21 07:19:00
T-OWL,IB,Sunday,8590363,16498,2019-03-21 07:30:00
T-OWL,IB,Sunday,8590363,17366,2019-03-21 07:38:00
T-OWL,IB,Sunday,8590363,13123,2019-03-21 07:50:00
T-OWL,IB,Sunday,8590363,13115,2019-03-21 07:57:00
T-OWL,IB,Sunday,8590363,17179,2019-03-21 08:04:00
T-OWL,IB,Sunday,8590362,15692,2019-03-21 07:39:00
T-OWL,IB,Sunday,8590362,16498,2019-03-21 07:50:00
T-OWL,IB,Sunday,8590362,17366,2019-03-21 07:58:00
T-OWL,IB,Sunday,8590362,13123,2019-03-21 08:10:00
T-OWL,IB,Sunday,8590362,13115,2019-03-21 08:17:00
T-OWL,IB,Sunday,8590362,17179,2019-03-21 08:24:00
T-OWL,IB,Sunday,8590361,15692,2019-03-21 07:59:00
T-OWL,IB,Sunday,8590361,16498,2019-03-21 08:10:00
T-OWL,IB,Sunday,8590361,17366,2019-03-21 08:18:00
T-OWL,IB,Sunday,8590361,13123,2019-03-21 08:30:00
T-OWL,IB,Sunday,8590361,13115,2019-03-21 08:37:00
T-OWL,IB,Sunday,8590361,17179,2019-03-21 08:44:00
T-OWL,OB,Saturday,8590346,17179,2019-03-21 05:27:00
T-OWL,OB,Saturday,8590346,17303,2019-03-21 05:34:00
T-OWL,OB,Saturday,8590346,17170,2019-03-21 05:40:00
T-OWL,OB,Saturday,8590346,13103,2019-03-21 05:46:00
T-OWL,OB,Saturday,8590346,17405,2019-03-21 05:52:00
T-OWL,OB,Saturday,8590346,14726,2019-03-21 06:00:00
T-OWL,OB,Saturday,8590346,15696,2019-03-21 06:13:00
T-OWL,OB,Saturday,8590347,17179,2019-03-21 05:47:00
T-OWL,OB,Saturday,8590347,17303,2019-03-21 05:54:00
T-OWL,OB,Saturday,8590347,17170,2019-03-21 06:00:00
T-OWL,OB,Saturday,8590347,13103,2019-03-21 06:06:00
T-OWL,OB,Saturday,8590347,17405,2019-03-21 06:12:00
T-OWL,OB,Saturday,8590347,14726,2019-03-21 06:20:00
T-OWL,OB,Saturday,8590347,15696,2019-03-21 06:33:00
T-OWL,OB,Saturday,8590348,17179,2019-03-21 06:07:00
T-OWL,OB,Saturday,8590348,17303,2019-03-21 06:14:00
T-OWL,OB,Saturday,8590348,17170,2019-03-21 06:20:00
