"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3780","100072 (3780)","1862","709712 (1862)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",3056,2487,3753
"3780","100072 (3780)","1915","709713 (1915)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",3081,2515,3774
"3780","100072 (3780)","1987","709716 (1987)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2825,2185,3652
"3780","100072 (3780)","2006","709717 (2006)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2462,2125,2852
"3780","100072 (3780)","2019","609291 (2019)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2416,1900,3071
"3780","100072 (3780)","2020","609301 (2020)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2528,1912,3341
"3780","100072 (3780)","2042","609303 (2042)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2339,1879,2911
"3780","100072 (3780)","2044","609270 (2044)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2508,1910,3291
"3780","100072 (3780)","2048","609310 (2048)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2393,1834,3121
"3780","100072 (3780)","2054","609261 (2054)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2436,1841,3222
"3780","100072 (3780)","2074","609250 (2074)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2367,1780,3145
"3780","100072 (3780)","2076","609263 (2076)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2412,1820,3196
"3780","100072 (3780)","2081","609241 (2081)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2397,1808,3177
"3780","100072 (3780)","2092","609242 (2092)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2376,1796,3141
"3780","100072 (3780)","2116","609152 (2116)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2330,1755,3092
"3780","100072 (3780)","2117","609141 (2117)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2359,1773,3137
"3780","100072 (3780)","2142","609111 (2142)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2300,1728,3059
"3780","100072 (3780)","2155","609102 (2155)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2384,1760,3228
"3780","100072 (3780)","2158","609082 (2158)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2364,1740,3210
"3780","100072 (3780)","2163","910571 (2163)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2500,2066,3025
"3780","100072 (3780)","2167","609070 (2167)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2281,1675,3105
"3780","100072 (3780)","2171","609071 (2171)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2313,1698,3148
"3780","100072 (3780)","2176","910594 (2176)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2494,2055,3025
"3780","100072 (3780)","2178","910582 (2178)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2433,2010,2943
"3780","100072 (3780)","2189","507883 (2189)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2189,1577,3037
"3780","100072 (3780)","2194","507892 (2194)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2264,1644,3117
"3780","100072 (3780)","2214","910581 (2214)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2364,1956,2856
"3780","100072 (3780)","2233","507871 (2233)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2353,1564,3538
"3780","100072 (3780)","2249","910617 (2249)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2310,1907,2798
"3780","100072 (3780)","2266","910615 (2266)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2235,1872,2667
"3780","100072 (3780)","2273","910601 (2273)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2256,1863,2731
"3780","100072 (3780)","2316","507861 (2316)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2289,1507,3476
"3780","100072 (3780)","2318","910641 (2318)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2211,1832,2667
"3780","100072 (3780)","2319","910613 (2319)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2168,1815,2588
"3780","100072 (3780)","2336","910623 (2336)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2140,1786,2562
"3780","100072 (3780)","2355","507862 (2355)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2105,1475,3002
"3780","100072 (3780)","2380","507840 (2380)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2069,1446,2959
"3780","100072 (3780)","2398","910634 (2398)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2197,1821,2649
"3780","100072 (3780)","2436","507833 (2436)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2088,1443,3020
"3780","100072 (3780)","2441","910631 (2441)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2111,1762,2528
"3780","100072 (3780)","2462","507790 (2462)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1833,1366,2459
"3780","100072 (3780)","2471","507784 (2471)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2096,1422,3088
"3780","100072 (3780)","2478","910791 (2478)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2054,1712,2463
"3780","100072 (3780)","2492","507763 (2492)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1949,1343,2826
"3780","100072 (3780)","2508","910780 (2508)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2160,1715,2719
"3780","100072 (3780)","2565","508092 (2565)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2384,1880,3022
"3780","100072 (3780)","2576","507761 (2576)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1799,1250,2587
"3780","100072 (3780)","2600","910771 (2600)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",2210,1706,2861
