route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
14287,SFMTA,1,CALIFORNIA, ,3,https://SFMTA.com/1              , , 
14288,SFMTA,1AX,CALIFORNIA A EXPRESS, ,3,https://SFMTA.com/1AX            , , 
14289,SFMTA,1BX,CALIFORNIA B EXPRESS, ,3,https://SFMTA.com/1BX            , , 
14290,SFMTA,2,SUTTER/CLEMENT, ,3,https://SFMTA.com/2              , , 
14291,SFMTA,3,JACKSON, ,3,https://SFMTA.com/3              , , 
14292,SFMTA,5,FULTON, ,3,https://SFMTA.com/5              , , 
14293,SFMTA,5R,FULTON RAPID, ,3,https://SFMTA.com/5R             , , 
14294,SFMTA,6,HAIGHT-PARNASSUS, ,3,https://SFMTA.com/6              , , 
14295,SFMTA,7,HAIGHT-NORIEGA, ,3,https://SFMTA.com/7              , , 
14296,SFMTA,7X,NORIEGA EXPRESS, ,3,https://SFMTA.com/7X             , , 
14297,SFMTA,8,BAYSHORE, ,3,https://SFMTA.com/8              , , 
14298,SFMTA,8AX,BAYSHORE A EXPRESS, ,3,https://SFMTA.com/8AX            , , 
14299,SFMTA,8BX,BAYSHORE B EXPRESS, ,3,https://SFMTA.com/8BX            , , 
14300,SFMTA,9,SAN BRUNO, ,3,https://SFMTA.com/9              , , 
14301,SFMTA,9R,SAN BRUNO RAPID, ,3,https://SFMTA.com/9R             , , 
14302,SFMTA,10,TOWNSEND, ,3,https://SFMTA.com/10             , , 
14303,SFMTA,12,FOLSOM-PACIFIC, ,3,https://SFMTA.com/12             , , 
14304,SFMTA,14,MISSION, ,3,https://SFMTA.com/14             , , 
14305,SFMTA,14R,MISSION RAPID, ,3,https://SFMTA.com/14R            , , 
14306,SFMTA,14X,MISSION EXPRESS, ,3,https://SFMTA.com/14X            , , 
14307,SFMTA,18,46TH AVENUE, ,3,https://SFMTA.com/18             , , 
14308,SFMTA,19,POLK, ,3,https://SFMTA.com/19             , , 
14309,SFMTA,21,HAYES, ,3,https://SFMTA.com/21             , , 
14310,SFMTA,22,FILLMORE, ,3,https://SFMTA.com/22             , , 
14311,SFMTA,23,MONTEREY, ,3,https://SFMTA.com/23             , , 
14312,SFMTA,24,DIVISADERO, ,3,https://SFMTA.com/24             , , 
14313,SFMTA,25,TREASURE ISLAND, ,3,https://SFMTA.com/25             , , 
14314,SFMTA,27,BRYANT, ,3,https://SFMTA.com/27             , , 
14315,SFMTA,28,19TH AVENUE, ,3,https://SFMTA.com/28             , , 
14316,SFMTA,28R,19TH AVENUE RAPID, ,3,https://SFMTA.com/28R            , , 
14317,SFMTA,29,SUNSET, ,3,https://SFMTA.com/29             , , 
14318,SFMTA,30,STOCKTON, ,3,https://SFMTA.com/30             , , 
14319,SFMTA,30X,MARINA EXPRESS, ,3,https://SFMTA.com/30X            , , 
14320,SFMTA,31,BALBOA, ,3,https://SFMTA.com/31             , , 
14321,SFMTA,31AX,BALBOA A EXPRESS, ,3,https://SFMTA.com/31AX           , , 
14322,SFMTA,31BX,BALBOA B EXPRESS, ,3,https://SFMTA.com/31BX           , , 
14323,SFMTA,33,ASHBURY-18TH ST, ,3,https://SFMTA.com/33             , , 
14324,SFMTA,35,EUREKA, ,3,https://SFMTA.com/35             , , 
14325,SFMTA,36,TERESITA, ,3,https://SFMTA.com/36             , , 
14326,SFMTA,37,CORBETT, ,3,https://SFMTA.com/37             , , 
14327,SFMTA,38,GEARY, ,3,https://SFMTA.com/38             , , 
14328,SFMTA,38AX,GEARY A EXPRESS, ,3,https://SFMTA.com/38AX           , , 
14329,SFMTA,38BX,GEARY B EXPRESS, ,3,https://SFMTA.com/38BX           , , 
14330,SFMTA,38R,GEARY RAPID, ,3,https://SFMTA.com/38R            , , 
14331,SFMTA,39,COIT, ,3,https://SFMTA.com/39             , , 
14332,SFMTA,41,UNION, ,3,https://SFMTA.com/41             , , 
14333,SFMTA,43,MASONIC, ,3,https://SFMTA.com/43             , , 
14334,SFMTA,44,O'SHAUGHNESSY, ,3,https://SFMTA.com/44             , , 
14335,SFMTA,45,UNION-STOCKTON, ,3,https://SFMTA.com/45             , , 
14336,SFMTA,47,VAN NESS, ,3,https://SFMTA.com/47             , , 
14337,SFMTA,48,QUINTARA-24TH STREET, ,3,https://SFMTA.com/48             , , 
14338,SFMTA,49,VAN NESS-MISSION, ,3,https://SFMTA.com/49             , , 
14339,SFMTA,52,EXCELSIOR, ,3,https://SFMTA.com/52             , , 
14340,SFMTA,54,FELTON, ,3,https://SFMTA.com/54             , , 
14341,SFMTA,55,16TH STREET, ,3,https://SFMTA.com/55             , , 
14342,SFMTA,56,RUTLAND, ,3,https://SFMTA.com/56             , , 
14343,SFMTA,57,PARKMERCED, ,3,https://SFMTA.com/57             , , 
14344,SFMTA,PM,POWELL-MASON CABLE CAR, ,5,https://SFMTA.com/PM             , , 
14345,SFMTA,PH,POWELL-HYDE CABLE CAR, ,5,https://SFMTA.com/PH             , , 
14346,SFMTA,C,CALIFORNIA STREET CABLE CAR, ,5,https://SFMTA.com/C              , , 
14347,SFMTA,66,QUINTARA, ,3,https://SFMTA.com/66             , , 
14348,SFMTA,67,BERNAL HEIGHTS, ,3,https://SFMTA.com/67             , , 
14349,SFMTA,76X,MARIN HEADLANDS EXPRESS, ,3,https://SFMTA.com/76X            , , 
14350,SFMTA,81X,CALTRAIN EXPRESS, ,3,https://SFMTA.com/81X            , , 
14351,SFMTA,82X,LEVI PLAZA EXPRESS, ,3,https://SFMTA.com/82X            , , 
