ROUTE,direction,timetable,trip_id,stop_id,TIME
31AX,IB,Weekday,8548825,13927,2019-03-21 06:50:00
31AX,IB,Weekday,8548825,13042,2019-03-21 07:03:00
31AX,IB,Weekday,8548825,14347,2019-03-21 07:25:00
31AX,IB,Weekday,8548826,13927,2019-03-21 07:00:00
31AX,IB,Weekday,8548826,13042,2019-03-21 07:13:00
31AX,IB,Weekday,8548826,14347,2019-03-21 07:35:00
31AX,IB,Weekday,8548827,13927,2019-03-21 07:10:00
31AX,IB,Weekday,8548827,13042,2019-03-21 07:23:00
31AX,IB,Weekday,8548827,14347,2019-03-21 07:46:00
31AX,IB,Weekday,8548828,13927,2019-03-21 07:20:00
31AX,IB,Weekday,8548828,13042,2019-03-21 07:34:00
31AX,IB,Weekday,8548828,14347,2019-03-21 08:00:00
31AX,IB,Weekday,8548829,13927,2019-03-21 07:30:00
31AX,IB,Weekday,8548829,13042,2019-03-21 07:44:00
31AX,IB,Weekday,8548829,14347,2019-03-21 08:12:00
31AX,IB,Weekday,8548830,13927,2019-03-21 07:40:00
31AX,IB,Weekday,8548830,13042,2019-03-21 07:54:00
31AX,IB,Weekday,8548830,14347,2019-03-21 08:26:00
31AX,IB,Weekday,8548831,13927,2019-03-21 07:50:00
31AX,IB,Weekday,8548831,13042,2019-03-21 08:04:00
31AX,IB,Weekday,8548831,14347,2019-03-21 08:36:00
31AX,IB,Weekday,8548832,13927,2019-03-21 08:00:00
31AX,IB,Weekday,8548832,13042,2019-03-21 08:14:00
31AX,IB,Weekday,8548832,14347,2019-03-21 08:46:00
31AX,IB,Weekday,8548833,13927,2019-03-21 08:10:00
31AX,IB,Weekday,8548833,13042,2019-03-21 08:24:00
31AX,IB,Weekday,8548833,14347,2019-03-21 08:57:00
31AX,IB,Weekday,8548834,13927,2019-03-21 08:20:00
31AX,IB,Weekday,8548834,13042,2019-03-21 08:34:00
31AX,IB,Weekday,8548834,14347,2019-03-21 09:07:00
31AX,IB,Weekday,8548821,13927,2019-03-21 08:30:00
31AX,IB,Weekday,8548821,13042,2019-03-21 08:44:00
31AX,IB,Weekday,8548821,14347,2019-03-21 09:17:00
31AX,IB,Weekday,8548822,13927,2019-03-21 08:41:00
31AX,IB,Weekday,8548822,13042,2019-03-21 08:55:00
31AX,IB,Weekday,8548822,14347,2019-03-21 09:26:00
31AX,IB,Weekday,8548823,13927,2019-03-21 08:53:00
31AX,IB,Weekday,8548823,13042,2019-03-21 09:07:00
31AX,IB,Weekday,8548823,14347,2019-03-21 09:37:00
31AX,IB,Weekday,8548824,13927,2019-03-21 09:05:00
31AX,IB,Weekday,8548824,13042,2019-03-21 09:19:00
31AX,IB,Weekday,8548824,14347,2019-03-21 09:49:00
31AX,OB,Weekday,8548805,14347,2019-03-21 16:05:00
31AX,OB,Weekday,8548805,13927,2019-03-21 16:37:00
31AX,OB,Weekday,8548819,14347,2019-03-21 16:22:00
31AX,OB,Weekday,8548819,13927,2019-03-21 16:54:00
31AX,OB,Weekday,8548813,14347,2019-03-21 16:38:00
31AX,OB,Weekday,8548813,13927,2019-03-21 17:10:00
31AX,OB,Weekday,8548818,14347,2019-03-21 16:52:00
31AX,OB,Weekday,8548818,13927,2019-03-21 17:24:00
31AX,OB,Weekday,8548807,14347,2019-03-21 17:04:00
31AX,OB,Weekday,8548807,13927,2019-03-21 17:36:00
31AX,OB,Weekday,8548808,14347,2019-03-21 17:16:00
31AX,OB,Weekday,8548808,13927,2019-03-21 17:50:00
31AX,OB,Weekday,8548809,14347,2019-03-21 17:27:00
31AX,OB,Weekday,8548809,13927,2019-03-21 18:05:00
31AX,OB,Weekday,8548810,14347,2019-03-21 17:37:00
31AX,OB,Weekday,8548810,13927,2019-03-21 18:18:00
31AX,OB,Weekday,8548811,14347,2019-03-21 17:47:00
31AX,OB,Weekday,8548811,13927,2019-03-21 18:29:00
31AX,OB,Weekday,8548812,14347,2019-03-21 17:57:00
31AX,OB,Weekday,8548812,13927,2019-03-21 18:39:00
31AX,OB,Weekday,8548804,14347,2019-03-21 18:10:00
31AX,OB,Weekday,8548804,13927,2019-03-21 18:46:00
31AX,OB,Weekday,8548815,14347,2019-03-21 18:26:00
31AX,OB,Weekday,8548815,13927,2019-03-21 19:01:00
31AX,OB,Weekday,8548814,14347,2019-03-21 18:42:00
31AX,OB,Weekday,8548814,13927,2019-03-21 19:17:00
31AX,OB,Weekday,8548816,14347,2019-03-21 19:00:00
31AX,OB,Weekday,8548816,13927,2019-03-21 19:35:00
