ROUTE,direction,timetable,trip_id,stop_id,TIME
38BX,IB,Weekday,8553142,14270,2019-03-21 06:46:00
38BX,IB,Weekday,8553142,16092,2019-03-21 07:00:00
38BX,IB,Weekday,8553142,14347,2019-03-21 07:16:00
38BX,IB,Weekday,8553143,14270,2019-03-21 06:56:00
38BX,IB,Weekday,8553143,16092,2019-03-21 07:10:00
38BX,IB,Weekday,8553143,14347,2019-03-21 07:26:00
38BX,IB,Weekday,8553144,14270,2019-03-21 07:06:00
38BX,IB,Weekday,8553144,16092,2019-03-21 07:20:00
38BX,IB,Weekday,8553144,14347,2019-03-21 07:37:00
38BX,IB,Weekday,8553145,14270,2019-03-21 07:16:00
38BX,IB,Weekday,8553145,16092,2019-03-21 07:31:00
38BX,IB,Weekday,8553145,14347,2019-03-21 07:50:00
38BX,IB,Weekday,8553146,14270,2019-03-21 07:26:00
38BX,IB,Weekday,8553146,16092,2019-03-21 07:42:00
38BX,IB,Weekday,8553146,14347,2019-03-21 08:01:00
38BX,IB,Weekday,8553147,14270,2019-03-21 07:36:00
38BX,IB,Weekday,8553147,16092,2019-03-21 07:53:00
38BX,IB,Weekday,8553147,14347,2019-03-21 08:13:00
38BX,IB,Weekday,8553148,14270,2019-03-21 07:46:00
38BX,IB,Weekday,8553148,16092,2019-03-21 08:03:00
38BX,IB,Weekday,8553148,14347,2019-03-21 08:23:00
38BX,IB,Weekday,8553149,14270,2019-03-21 07:57:00
38BX,IB,Weekday,8553149,16092,2019-03-21 08:14:00
38BX,IB,Weekday,8553149,14347,2019-03-21 08:36:00
38BX,IB,Weekday,8553150,14270,2019-03-21 08:07:00
38BX,IB,Weekday,8553150,16092,2019-03-21 08:24:00
38BX,IB,Weekday,8553150,14347,2019-03-21 08:48:00
38BX,IB,Weekday,8553151,14270,2019-03-21 08:18:00
38BX,IB,Weekday,8553151,16092,2019-03-21 08:35:00
38BX,IB,Weekday,8553151,14347,2019-03-21 08:59:00
38BX,IB,Weekday,8553138,14270,2019-03-21 08:30:00
38BX,IB,Weekday,8553138,16092,2019-03-21 08:47:00
38BX,IB,Weekday,8553138,14347,2019-03-21 09:11:00
38BX,IB,Weekday,8553139,14270,2019-03-21 08:41:00
38BX,IB,Weekday,8553139,16092,2019-03-21 08:58:00
38BX,IB,Weekday,8553139,14347,2019-03-21 09:22:00
38BX,IB,Weekday,8553140,14270,2019-03-21 08:53:00
38BX,IB,Weekday,8553140,16092,2019-03-21 09:10:00
38BX,IB,Weekday,8553140,14347,2019-03-21 09:34:00
38BX,IB,Weekday,8553141,14270,2019-03-21 09:05:00
38BX,IB,Weekday,8553141,16092,2019-03-21 09:22:00
38BX,IB,Weekday,8553141,14347,2019-03-21 09:46:00
38BX,OB,Weekday,8553125,15942,2019-03-21 16:05:00
38BX,OB,Weekday,8553125,14269,2019-03-21 16:32:00
38BX,OB,Weekday,8553126,15942,2019-03-21 16:22:00
38BX,OB,Weekday,8553126,14269,2019-03-21 16:49:00
38BX,OB,Weekday,8553137,15942,2019-03-21 16:40:00
38BX,OB,Weekday,8553137,14269,2019-03-21 17:07:00
38BX,OB,Weekday,8553128,15942,2019-03-21 16:57:00
38BX,OB,Weekday,8553128,14269,2019-03-21 17:28:00
38BX,OB,Weekday,8553129,15942,2019-03-21 17:15:00
38BX,OB,Weekday,8553129,14269,2019-03-21 17:50:00
38BX,OB,Weekday,8553135,15942,2019-03-21 17:30:00
38BX,OB,Weekday,8553135,14269,2019-03-21 18:05:00
38BX,OB,Weekday,8553130,15942,2019-03-21 17:40:00
38BX,OB,Weekday,8553130,14269,2019-03-21 18:14:00
38BX,OB,Weekday,8553131,15942,2019-03-21 17:50:00
38BX,OB,Weekday,8553131,14269,2019-03-21 18:24:00
38BX,OB,Weekday,8553121,15942,2019-03-21 18:03:00
38BX,OB,Weekday,8553121,14269,2019-03-21 18:37:00
38BX,OB,Weekday,8553122,15942,2019-03-21 18:17:00
38BX,OB,Weekday,8553122,14269,2019-03-21 18:51:00
38BX,OB,Weekday,8553123,15942,2019-03-21 18:30:00
38BX,OB,Weekday,8553123,14269,2019-03-21 19:01:00
38BX,OB,Weekday,8553124,15942,2019-03-21 18:45:00
38BX,OB,Weekday,8553124,14269,2019-03-21 19:15:00
38BX,OB,Weekday,8553132,15942,2019-03-21 19:00:00
38BX,OB,Weekday,8553132,14269,2019-03-21 19:30:00
