ROUTE,direction,timetable,trip_id,stop_id,TIME
38R,IB,Saturday,8553608,13608,2019-03-21 08:38:00
38R,IB,Saturday,8553608,14279,2019-03-21 08:43:00
38R,IB,Saturday,8553608,14756,2019-03-21 08:49:00
38R,IB,Saturday,8553608,17953,2019-03-21 08:57:00
38R,IB,Saturday,8553608,17954,2019-03-21 09:01:00
38R,IB,Saturday,8553608,15818,2019-03-21 09:05:00
38R,IB,Saturday,8553608,15817,2019-03-21 09:11:00
38R,IB,Saturday,8553608,15641,2019-03-21 09:14:00
38R,IB,Saturday,8553608,17619,2019-03-21 09:20:00
38R,IB,Saturday,8553594,13608,2019-03-21 08:46:00
38R,IB,Saturday,8553594,14279,2019-03-21 08:51:00
38R,IB,Saturday,8553594,14756,2019-03-21 08:57:00
38R,IB,Saturday,8553594,17953,2019-03-21 09:05:00
38R,IB,Saturday,8553594,17954,2019-03-21 09:09:00
38R,IB,Saturday,8553594,15818,2019-03-21 09:13:00
38R,IB,Saturday,8553594,15817,2019-03-21 09:19:00
38R,IB,Saturday,8553594,15641,2019-03-21 09:22:00
38R,IB,Saturday,8553594,17619,2019-03-21 09:28:00
38R,IB,Saturday,8553593,13608,2019-03-21 08:54:00
38R,IB,Saturday,8553593,14279,2019-03-21 08:59:00
38R,IB,Saturday,8553593,14756,2019-03-21 09:05:00
38R,IB,Saturday,8553593,17953,2019-03-21 09:13:00
38R,IB,Saturday,8553593,17954,2019-03-21 09:17:00
38R,IB,Saturday,8553593,15818,2019-03-21 09:21:00
38R,IB,Saturday,8553593,15817,2019-03-21 09:27:00
38R,IB,Saturday,8553593,15641,2019-03-21 09:30:00
38R,IB,Saturday,8553593,17619,2019-03-21 09:36:00
38R,IB,Saturday,8553595,13608,2019-03-21 09:02:00
38R,IB,Saturday,8553595,14279,2019-03-21 09:07:00
38R,IB,Saturday,8553595,14756,2019-03-21 09:13:00
38R,IB,Saturday,8553595,17953,2019-03-21 09:21:00
38R,IB,Saturday,8553595,17954,2019-03-21 09:25:00
38R,IB,Saturday,8553595,15818,2019-03-21 09:29:00
38R,IB,Saturday,8553595,15817,2019-03-21 09:35:00
38R,IB,Saturday,8553595,15641,2019-03-21 09:38:00
38R,IB,Saturday,8553595,17619,2019-03-21 09:44:00
38R,IB,Saturday,8553592,13608,2019-03-21 09:10:00
38R,IB,Saturday,8553592,14279,2019-03-21 09:15:00
38R,IB,Saturday,8553592,14756,2019-03-21 09:21:00
38R,IB,Saturday,8553592,17953,2019-03-21 09:29:00
38R,IB,Saturday,8553592,17954,2019-03-21 09:33:00
38R,IB,Saturday,8553592,15818,2019-03-21 09:37:00
38R,IB,Saturday,8553592,15817,2019-03-21 09:43:00
38R,IB,Saturday,8553592,15641,2019-03-21 09:46:00
38R,IB,Saturday,8553592,17619,2019-03-21 09:52:00
38R,IB,Saturday,8553591,13608,2019-03-21 09:17:00
38R,IB,Saturday,8553591,14279,2019-03-21 09:22:00
38R,IB,Saturday,8553591,14756,2019-03-21 09:28:00
38R,IB,Saturday,8553591,17953,2019-03-21 09:36:00
38R,IB,Saturday,8553591,17954,2019-03-21 09:40:00
38R,IB,Saturday,8553591,15818,2019-03-21 09:45:00
38R,IB,Saturday,8553591,15817,2019-03-21 09:51:00
38R,IB,Saturday,8553591,15641,2019-03-21 09:54:00
38R,IB,Saturday,8553591,17619,2019-03-21 10:00:00
38R,IB,Saturday,8553590,13608,2019-03-21 09:25:00
38R,IB,Saturday,8553590,14279,2019-03-21 09:30:00
38R,IB,Saturday,8553590,14756,2019-03-21 09:36:00
38R,IB,Saturday,8553590,17953,2019-03-21 09:44:00
38R,IB,Saturday,8553590,17954,2019-03-21 09:48:00
38R,IB,Saturday,8553590,15818,2019-03-21 09:53:00
38R,IB,Saturday,8553590,15817,2019-03-21 09:59:00
38R,IB,Saturday,8553590,15641,2019-03-21 10:02:00
38R,IB,Saturday,8553590,17619,2019-03-21 10:08:00
38R,IB,Saturday,8553589,13608,2019-03-21 09:33:00
38R,IB,Saturday,8553589,14279,2019-03-21 09:38:00
38R,IB,Saturday,8553589,14756,2019-03-21 09:44:00
38R,IB,Saturday,8553589,17953,2019-03-21 09:52:00
38R,IB,Saturday,8553589,17954,2019-03-21 09:56:00
38R,IB,Saturday,8553589,15818,2019-03-21 10:01:00
38R,IB,Saturday,8553589,15817,2019-03-21 10:07:00
