ROUTE,direction,timetable,trip_id,stop_id,TIME
7X,IB,Weekday,8522640,15828,2019-03-21 06:25:00
7X,IB,Weekday,8522640,15301,2019-03-21 06:43:00
7X,IB,Weekday,8522640,15693,2019-03-21 07:08:00
7X,IB,Weekday,8522639,15828,2019-03-21 06:34:00
7X,IB,Weekday,8522639,15301,2019-03-21 06:53:00
7X,IB,Weekday,8522639,15693,2019-03-21 07:20:00
7X,IB,Weekday,8522638,15828,2019-03-21 06:42:00
7X,IB,Weekday,8522638,15301,2019-03-21 07:01:00
7X,IB,Weekday,8522638,15693,2019-03-21 07:28:00
7X,IB,Weekday,8522637,15828,2019-03-21 06:50:00
7X,IB,Weekday,8522637,15301,2019-03-21 07:10:00
7X,IB,Weekday,8522637,15693,2019-03-21 07:41:00
7X,IB,Weekday,8522636,15828,2019-03-21 06:58:00
7X,IB,Weekday,8522636,15301,2019-03-21 07:18:00
7X,IB,Weekday,8522636,15693,2019-03-21 07:49:00
7X,IB,Weekday,8522635,15828,2019-03-21 07:06:00
7X,IB,Weekday,8522635,15301,2019-03-21 07:26:00
7X,IB,Weekday,8522635,15693,2019-03-21 07:57:00
7X,IB,Weekday,8522634,15828,2019-03-21 07:14:00
7X,IB,Weekday,8522634,15301,2019-03-21 07:35:00
7X,IB,Weekday,8522634,15693,2019-03-21 08:08:00
7X,IB,Weekday,8522633,15828,2019-03-21 07:22:00
7X,IB,Weekday,8522633,15301,2019-03-21 07:43:00
7X,IB,Weekday,8522633,15693,2019-03-21 08:16:00
7X,IB,Weekday,8522626,15828,2019-03-21 07:31:00
7X,IB,Weekday,8522626,15301,2019-03-21 07:52:00
7X,IB,Weekday,8522626,15693,2019-03-21 08:26:00
7X,IB,Weekday,8522632,15828,2019-03-21 07:40:00
7X,IB,Weekday,8522632,15301,2019-03-21 08:01:00
7X,IB,Weekday,8522632,15693,2019-03-21 08:35:00
7X,IB,Weekday,8522631,15828,2019-03-21 07:48:00
7X,IB,Weekday,8522631,15301,2019-03-21 08:09:00
7X,IB,Weekday,8522631,15693,2019-03-21 08:43:00
7X,IB,Weekday,8522630,15828,2019-03-21 07:57:00
7X,IB,Weekday,8522630,15301,2019-03-21 08:18:00
7X,IB,Weekday,8522630,15693,2019-03-21 08:52:00
7X,IB,Weekday,8522629,15828,2019-03-21 08:06:00
