ROUTE,direction,timetable,trip_id,stop_id,TIME
L-OWL,IB,Saturday,8583403,16932,2019-03-21 05:02:00
L-OWL,IB,Saturday,8583403,16744,2019-03-21 05:13:00
L-OWL,IB,Saturday,8583403,15665,2019-03-21 05:24:00
L-OWL,IB,Saturday,8583403,15692,2019-03-21 05:32:00
L-OWL,IB,Saturday,8583403,16497,2019-03-21 05:43:00
L-OWL,IB,Saturday,8583400,16932,2019-03-21 01:00:00
L-OWL,IB,Saturday,8583400,16744,2019-03-21 01:11:00
L-OWL,IB,Saturday,8583400,15665,2019-03-21 01:22:00
L-OWL,IB,Saturday,8583400,15692,2019-03-21 01:30:00
L-OWL,IB,Saturday,8583400,16497,2019-03-21 01:41:00
L-OWL,IB,Saturday,8583399,16932,2019-03-21 01:30:00
L-OWL,IB,Saturday,8583399,16744,2019-03-21 01:41:00
L-OWL,IB,Saturday,8583399,15665,2019-03-21 01:52:00
L-OWL,IB,Saturday,8583399,15692,2019-03-21 02:00:00
L-OWL,IB,Saturday,8583399,16497,2019-03-21 02:11:00
L-OWL,IB,Saturday,8583401,16932,2019-03-21 02:00:00
L-OWL,IB,Saturday,8583401,16744,2019-03-21 02:11:00
L-OWL,IB,Saturday,8583401,15665,2019-03-21 02:22:00
L-OWL,IB,Saturday,8583401,15692,2019-03-21 02:30:00
L-OWL,IB,Saturday,8583401,16497,2019-03-21 02:41:00
L-OWL,IB,Saturday,8583398,16932,2019-03-21 02:30:00
L-OWL,IB,Saturday,8583398,16744,2019-03-21 02:41:00
L-OWL,IB,Saturday,8583398,15665,2019-03-21 02:52:00
L-OWL,IB,Saturday,8583398,15692,2019-03-21 03:00:00
L-OWL,IB,Saturday,8583398,16497,2019-03-21 03:11:00
L-OWL,IB,Saturday,8583397,16932,2019-03-21 03:00:00
L-OWL,IB,Saturday,8583397,16744,2019-03-21 03:11:00
L-OWL,IB,Saturday,8583397,15665,2019-03-21 03:22:00
L-OWL,IB,Saturday,8583397,15692,2019-03-21 03:30:00
L-OWL,IB,Saturday,8583397,16497,2019-03-21 03:41:00
L-OWL,IB,Saturday,8583402,16932,2019-03-21 03:30:00
L-OWL,IB,Saturday,8583402,16744,2019-03-21 03:41:00
L-OWL,IB,Saturday,8583402,15665,2019-03-21 03:52:00
L-OWL,IB,Saturday,8583402,15692,2019-03-21 04:00:00
L-OWL,IB,Saturday,8583402,16497,2019-03-21 04:11:00
L-OWL,IB,Saturday,8583396,16932,2019-03-21 04:00:00
L-OWL,IB,Saturday,8583396,16744,2019-03-21 04:11:00
L-OWL,IB,Saturday,8583396,15665,2019-03-21 04:22:00
L-OWL,IB,Saturday,8583396,15692,2019-03-21 04:30:00
L-OWL,IB,Saturday,8583396,16497,2019-03-21 04:41:00
L-OWL,IB,Saturday,8583395,16932,2019-03-21 04:30:00
L-OWL,IB,Saturday,8583395,16744,2019-03-21 04:41:00
L-OWL,IB,Saturday,8583395,15665,2019-03-21 04:52:00
