ROUTE,direction,timetable,trip_id,stop_id,TIME
M-OWL,IB,Sunday,8585597,14898,2019-03-21 05:15:00
M-OWL,IB,Sunday,8585597,17205,2019-03-21 05:26:00
M-OWL,IB,Sunday,8585597,16744,2019-03-21 05:30:00
M-OWL,IB,Sunday,8585597,15665,2019-03-21 05:41:00
M-OWL,IB,Sunday,8585597,15692,2019-03-21 05:49:00
M-OWL,IB,Sunday,8585597,16497,2019-03-21 06:00:00
M-OWL,IB,Sunday,8585596,14898,2019-03-21 05:45:00
M-OWL,IB,Sunday,8585596,17205,2019-03-21 05:56:00
M-OWL,IB,Sunday,8585596,16744,2019-03-21 06:00:00
M-OWL,IB,Sunday,8585596,15665,2019-03-21 06:11:00
M-OWL,IB,Sunday,8585596,15692,2019-03-21 06:19:00
M-OWL,IB,Sunday,8585596,16497,2019-03-21 06:30:00
M-OWL,IB,Sunday,8585592,14898,2019-03-21 06:00:00
M-OWL,IB,Sunday,8585592,17205,2019-03-21 06:11:00
M-OWL,IB,Sunday,8585592,16744,2019-03-21 06:15:00
M-OWL,IB,Sunday,8585592,15665,2019-03-21 06:26:00
M-OWL,IB,Sunday,8585592,15692,2019-03-21 06:34:00
M-OWL,IB,Sunday,8585592,16497,2019-03-21 06:45:00
M-OWL,IB,Sunday,8585595,14898,2019-03-21 06:15:00
M-OWL,IB,Sunday,8585595,17205,2019-03-21 06:26:00
M-OWL,IB,Sunday,8585595,16744,2019-03-21 06:30:00
M-OWL,IB,Sunday,8585595,15665,2019-03-21 06:41:00
M-OWL,IB,Sunday,8585595,15692,2019-03-21 06:49:00
M-OWL,IB,Sunday,8585595,16497,2019-03-21 07:00:00
M-OWL,IB,Sunday,8585591,14898,2019-03-21 06:40:00
M-OWL,IB,Sunday,8585591,17205,2019-03-21 06:51:00
M-OWL,IB,Sunday,8585591,16744,2019-03-21 06:55:00
M-OWL,IB,Sunday,8585591,15665,2019-03-21 07:06:00
M-OWL,IB,Sunday,8585591,15692,2019-03-21 07:14:00
M-OWL,IB,Sunday,8585591,16497,2019-03-21 07:25:00
M-OWL,IB,Sunday,8585594,14898,2019-03-21 07:00:00
M-OWL,IB,Sunday,8585594,17205,2019-03-21 07:11:00
M-OWL,IB,Sunday,8585594,16744,2019-03-21 07:15:00
M-OWL,IB,Sunday,8585594,15665,2019-03-21 07:26:00
M-OWL,IB,Sunday,8585594,15692,2019-03-21 07:34:00
M-OWL,IB,Sunday,8585594,16497,2019-03-21 07:45:00
M-OWL,IB,Sunday,8585593,14898,2019-03-21 07:20:00
M-OWL,IB,Sunday,8585593,17205,2019-03-21 07:31:00
M-OWL,IB,Sunday,8585593,16744,2019-03-21 07:35:00
M-OWL,IB,Sunday,8585593,15665,2019-03-21 07:46:00
M-OWL,IB,Sunday,8585593,15692,2019-03-21 07:54:00
M-OWL,IB,Sunday,8585593,16497,2019-03-21 08:05:00
M-OWL,OB,Sunday,8585590,16497,2019-03-21 06:27:00
M-OWL,OB,Sunday,8585590,15696,2019-03-21 06:40:00
M-OWL,OB,Sunday,8585590,15667,2019-03-21 06:46:00
M-OWL,OB,Sunday,8585590,16738,2019-03-21 06:56:00
M-OWL,OB,Sunday,8585590,16503,2019-03-21 06:59:00
M-OWL,OB,Sunday,8585590,14898,2019-03-21 07:11:00
M-OWL,OB,Sunday,8585589,16497,2019-03-21 06:47:00
M-OWL,OB,Sunday,8585589,15696,2019-03-21 07:00:00
M-OWL,OB,Sunday,8585589,15667,2019-03-21 07:06:00
M-OWL,OB,Sunday,8585589,16738,2019-03-21 07:16:00
M-OWL,OB,Sunday,8585589,16503,2019-03-21 07:19:00
M-OWL,OB,Sunday,8585589,14898,2019-03-21 07:31:00
M-OWL,OB,Sunday,8585588,16497,2019-03-21 07:07:00
M-OWL,OB,Sunday,8585588,15696,2019-03-21 07:20:00
M-OWL,OB,Sunday,8585588,15667,2019-03-21 07:26:00
M-OWL,OB,Sunday,8585588,16738,2019-03-21 07:36:00
M-OWL,OB,Sunday,8585588,16503,2019-03-21 07:39:00
M-OWL,OB,Sunday,8585588,14898,2019-03-21 07:51:00
M-OWL,OB,Sunday,8585587,16497,2019-03-21 07:27:00
M-OWL,OB,Sunday,8585587,15696,2019-03-21 07:40:00
M-OWL,OB,Sunday,8585587,15667,2019-03-21 07:46:00
M-OWL,OB,Sunday,8585587,16738,2019-03-21 07:56:00
M-OWL,OB,Sunday,8585587,16503,2019-03-21 07:59:00
M-OWL,OB,Sunday,8585587,14898,2019-03-21 08:11:00
M-OWL,OB,Sunday,8585586,16497,2019-03-21 07:47:00
M-OWL,OB,Sunday,8585586,15696,2019-03-21 08:00:00
M-OWL,OB,Sunday,8585586,15667,2019-03-21 08:06:00
M-OWL,OB,Sunday,8585586,16738,2019-03-21 08:16:00
M-OWL,OB,Sunday,8585586,16503,2019-03-21 08:19:00
M-OWL,OB,Sunday,8585586,14898,2019-03-21 08:31:00
