ROUTE,direction,timetable,trip_id,stop_id,TIME
N-OWL,IB,Saturday,8588344,15223,2019-03-21 05:18:00
N-OWL,IB,Saturday,8588344,15200,2019-03-21 05:26:00
N-OWL,IB,Saturday,8588344,17636,2019-03-21 05:38:00
N-OWL,IB,Saturday,8588344,14005,2019-03-21 05:40:00
N-OWL,IB,Saturday,8588344,15692,2019-03-21 05:45:00
N-OWL,IB,Saturday,8588344,16498,2019-03-21 05:56:00
N-OWL,IB,Saturday,8588344,13164,2019-03-21 06:04:00
N-OWL,IB,Saturday,8588343,15223,2019-03-21 00:48:00
N-OWL,IB,Saturday,8588343,15200,2019-03-21 00:56:00
N-OWL,IB,Saturday,8588343,17636,2019-03-21 01:08:00
N-OWL,IB,Saturday,8588343,14005,2019-03-21 01:10:00
N-OWL,IB,Saturday,8588343,15692,2019-03-21 01:15:00
N-OWL,IB,Saturday,8588343,16498,2019-03-21 01:26:00
N-OWL,IB,Saturday,8588343,13164,2019-03-21 01:34:00
N-OWL,IB,Saturday,8588342,15223,2019-03-21 01:18:00
N-OWL,IB,Saturday,8588342,15200,2019-03-21 01:26:00
N-OWL,IB,Saturday,8588342,17636,2019-03-21 01:38:00
N-OWL,IB,Saturday,8588342,14005,2019-03-21 01:40:00
N-OWL,IB,Saturday,8588342,15692,2019-03-21 01:45:00
N-OWL,IB,Saturday,8588342,16498,2019-03-21 01:56:00
N-OWL,IB,Saturday,8588342,13164,2019-03-21 02:04:00
N-OWL,IB,Saturday,8588335,15223,2019-03-21 01:48:00
N-OWL,IB,Saturday,8588335,15200,2019-03-21 01:56:00
N-OWL,IB,Saturday,8588335,17636,2019-03-21 02:08:00
N-OWL,IB,Saturday,8588335,14005,2019-03-21 02:10:00
N-OWL,IB,Saturday,8588335,15692,2019-03-21 02:15:00
N-OWL,IB,Saturday,8588335,16498,2019-03-21 02:26:00
N-OWL,IB,Saturday,8588335,13164,2019-03-21 02:34:00
N-OWL,IB,Saturday,8588341,15223,2019-03-21 02:18:00
N-OWL,IB,Saturday,8588341,15200,2019-03-21 02:26:00
N-OWL,IB,Saturday,8588341,17636,2019-03-21 02:38:00
N-OWL,IB,Saturday,8588341,14005,2019-03-21 02:40:00
N-OWL,IB,Saturday,8588341,15692,2019-03-21 02:45:00
N-OWL,IB,Saturday,8588341,16498,2019-03-21 02:56:00
N-OWL,IB,Saturday,8588341,13164,2019-03-21 03:04:00
N-OWL,IB,Saturday,8588340,15223,2019-03-21 02:48:00
N-OWL,IB,Saturday,8588340,15200,2019-03-21 02:56:00
N-OWL,IB,Saturday,8588340,17636,2019-03-21 03:08:00
N-OWL,IB,Saturday,8588340,14005,2019-03-21 03:10:00
N-OWL,IB,Saturday,8588340,15692,2019-03-21 03:15:00
N-OWL,IB,Saturday,8588340,16498,2019-03-21 03:26:00
N-OWL,IB,Saturday,8588340,13164,2019-03-21 03:34:00
N-OWL,IB,Saturday,8588336,15223,2019-03-21 03:18:00
N-OWL,IB,Saturday,8588336,15200,2019-03-21 03:26:00
N-OWL,IB,Saturday,8588336,17636,2019-03-21 03:38:00
N-OWL,IB,Saturday,8588336,14005,2019-03-21 03:40:00
N-OWL,IB,Saturday,8588336,15692,2019-03-21 03:45:00
N-OWL,IB,Saturday,8588336,16498,2019-03-21 03:56:00
N-OWL,IB,Saturday,8588336,13164,2019-03-21 04:04:00
N-OWL,IB,Saturday,8588339,15223,2019-03-21 03:48:00
N-OWL,IB,Saturday,8588339,15200,2019-03-21 03:56:00
N-OWL,IB,Saturday,8588339,17636,2019-03-21 04:08:00
N-OWL,IB,Saturday,8588339,14005,2019-03-21 04:10:00
N-OWL,IB,Saturday,8588339,15692,2019-03-21 04:15:00
N-OWL,IB,Saturday,8588339,16498,2019-03-21 04:26:00
N-OWL,IB,Saturday,8588339,13164,2019-03-21 04:34:00
N-OWL,IB,Saturday,8588338,15223,2019-03-21 04:18:00
N-OWL,IB,Saturday,8588338,15200,2019-03-21 04:26:00
N-OWL,IB,Saturday,8588338,17636,2019-03-21 04:38:00
N-OWL,IB,Saturday,8588338,14005,2019-03-21 04:40:00
N-OWL,IB,Saturday,8588338,15692,2019-03-21 04:45:00
N-OWL,IB,Saturday,8588338,16498,2019-03-21 04:56:00
N-OWL,IB,Saturday,8588338,13164,2019-03-21 05:04:00
N-OWL,IB,Saturday,8588337,15223,2019-03-21 04:48:00
N-OWL,IB,Saturday,8588337,15200,2019-03-21 04:56:00
N-OWL,IB,Saturday,8588337,17636,2019-03-21 05:08:00
N-OWL,IB,Saturday,8588337,14005,2019-03-21 05:10:00
N-OWL,IB,Saturday,8588337,15692,2019-03-21 05:15:00
N-OWL,IB,Saturday,8588337,16498,2019-03-21 05:26:00
N-OWL,IB,Saturday,8588337,13164,2019-03-21 05:34:00
N-OWL,IB,Sunday,8588376,15223,2019-03-21 05:18:00
N-OWL,IB,Sunday,8588376,15200,2019-03-21 05:26:00
N-OWL,IB,Sunday,8588376,17636,2019-03-21 05:38:00
N-OWL,IB,Sunday,8588376,14005,2019-03-21 05:40:00
N-OWL,IB,Sunday,8588376,15692,2019-03-21 05:45:00
N-OWL,IB,Sunday,8588376,16498,2019-03-21 05:56:00
N-OWL,IB,Sunday,8588376,13164,2019-03-21 06:04:00
N-OWL,IB,Sunday,8588375,15223,2019-03-21 05:38:00
N-OWL,IB,Sunday,8588375,15200,2019-03-21 05:46:00
N-OWL,IB,Sunday,8588375,17636,2019-03-21 05:58:00
N-OWL,IB,Sunday,8588375,14005,2019-03-21 06:00:00
