ROUTE,direction,timetable,trip_id,stop_id,TIME
NX,IB,Weekday,8588430,15218,2019-03-21 06:33:00
NX,IB,Weekday,8588430,15200,2019-03-21 06:44:00
NX,IB,Weekday,8588430,13815,2019-03-21 07:12:00
NX,IB,Weekday,8588429,15218,2019-03-21 06:41:00
NX,IB,Weekday,8588429,15200,2019-03-21 06:52:00
NX,IB,Weekday,8588429,13815,2019-03-21 07:20:00
NX,IB,Weekday,8588428,15218,2019-03-21 06:49:00
NX,IB,Weekday,8588428,15200,2019-03-21 07:00:00
NX,IB,Weekday,8588428,13815,2019-03-21 07:28:00
NX,IB,Weekday,8588427,15218,2019-03-21 07:02:00
NX,IB,Weekday,8588427,15200,2019-03-21 07:13:00
NX,IB,Weekday,8588427,13815,2019-03-21 07:41:00
NX,IB,Weekday,8588426,15218,2019-03-21 07:10:00
NX,IB,Weekday,8588426,15200,2019-03-21 07:21:00
NX,IB,Weekday,8588426,13815,2019-03-21 07:49:00
NX,IB,Weekday,8588425,15218,2019-03-21 07:22:00
NX,IB,Weekday,8588425,15200,2019-03-21 07:33:00
NX,IB,Weekday,8588425,13815,2019-03-21 08:01:00
NX,IB,Weekday,8588424,15218,2019-03-21 07:29:00
NX,IB,Weekday,8588424,15200,2019-03-21 07:40:00
NX,IB,Weekday,8588424,13815,2019-03-21 08:08:00
NX,IB,Weekday,8588423,15218,2019-03-21 07:37:00
NX,IB,Weekday,8588423,15200,2019-03-21 07:48:00
NX,IB,Weekday,8588423,13815,2019-03-21 08:16:00
NX,IB,Weekday,8588422,15218,2019-03-21 07:50:00
NX,IB,Weekday,8588422,15200,2019-03-21 08:01:00
NX,IB,Weekday,8588422,13815,2019-03-21 08:29:00
NX,IB,Weekday,8588421,15218,2019-03-21 07:58:00
NX,IB,Weekday,8588421,15200,2019-03-21 08:09:00
NX,IB,Weekday,8588421,13815,2019-03-21 08:37:00
NX,IB,Weekday,8588420,15218,2019-03-21 08:06:00
NX,IB,Weekday,8588420,15200,2019-03-21 08:17:00
NX,IB,Weekday,8588420,13815,2019-03-21 08:45:00
NX,IB,Weekday,8588419,15218,2019-03-21 08:19:00
NX,IB,Weekday,8588419,15200,2019-03-21 08:30:00
NX,IB,Weekday,8588419,13815,2019-03-21 08:58:00
NX,IB,Weekday,8588418,15218,2019-03-21 08:27:00
NX,IB,Weekday,8588418,15200,2019-03-21 08:38:00
NX,IB,Weekday,8588418,13815,2019-03-21 09:06:00
NX,IB,Weekday,8588417,15218,2019-03-21 08:35:00
NX,IB,Weekday,8588417,15200,2019-03-21 08:46:00
NX,IB,Weekday,8588417,13815,2019-03-21 09:14:00
NX,IB,Weekday,8588416,15218,2019-03-21 08:48:00
NX,IB,Weekday,8588416,15200,2019-03-21 08:59:00
NX,IB,Weekday,8588416,13815,2019-03-21 09:27:00
NX,IB,Weekday,8588415,15218,2019-03-21 08:56:00
NX,IB,Weekday,8588415,15200,2019-03-21 09:07:00
NX,IB,Weekday,8588415,13815,2019-03-21 09:35:00
NX,IB,Weekday,8588414,15218,2019-03-21 09:03:00
NX,IB,Weekday,8588414,15200,2019-03-21 09:14:00
NX,IB,Weekday,8588414,13815,2019-03-21 09:42:00
NX,OB,Weekday,8588400,16606,2019-03-21 16:00:00
NX,OB,Weekday,8588400,17631,2019-03-21 16:38:00
NX,OB,Weekday,8588399,16606,2019-03-21 16:10:00
NX,OB,Weekday,8588399,17631,2019-03-21 16:48:00
NX,OB,Weekday,8588398,16606,2019-03-21 16:20:00
NX,OB,Weekday,8588398,17631,2019-03-21 16:58:00
NX,OB,Weekday,8588413,16606,2019-03-21 16:30:00
NX,OB,Weekday,8588413,17631,2019-03-21 17:08:00
NX,OB,Weekday,8588412,16606,2019-03-21 16:40:00
NX,OB,Weekday,8588412,17631,2019-03-21 17:18:00
NX,OB,Weekday,8588411,16606,2019-03-21 16:50:00
NX,OB,Weekday,8588411,17631,2019-03-21 17:28:00
NX,OB,Weekday,8588394,16606,2019-03-21 17:00:00
NX,OB,Weekday,8588394,17631,2019-03-21 17:38:00
NX,OB,Weekday,8588409,16606,2019-03-21 17:10:00
NX,OB,Weekday,8588409,17631,2019-03-21 17:48:00
NX,OB,Weekday,8588408,16606,2019-03-21 17:20:00
NX,OB,Weekday,8588408,17631,2019-03-21 17:58:00
NX,OB,Weekday,8588407,16606,2019-03-21 17:30:00
NX,OB,Weekday,8588407,17631,2019-03-21 18:08:00
NX,OB,Weekday,8588406,16606,2019-03-21 17:40:00
NX,OB,Weekday,8588406,17631,2019-03-21 18:18:00
NX,OB,Weekday,8588405,16606,2019-03-21 17:50:00
NX,OB,Weekday,8588405,17631,2019-03-21 18:27:00
NX,OB,Weekday,8588404,16606,2019-03-21 18:00:00
NX,OB,Weekday,8588404,17631,2019-03-21 18:38:00
NX,OB,Weekday,8588403,16606,2019-03-21 18:10:00
NX,OB,Weekday,8588403,17631,2019-03-21 18:48:00
NX,OB,Weekday,8588402,16606,2019-03-21 18:20:00
NX,OB,Weekday,8588402,17631,2019-03-21 18:58:00
NX,OB,Weekday,8588401,16606,2019-03-21 18:30:00
NX,OB,Weekday,8588401,17631,2019-03-21 19:08:00
NX,OB,Weekday,8588397,16606,2019-03-21 18:40:00
NX,OB,Weekday,8588397,17631,2019-03-21 19:18:00
NX,OB,Weekday,8588396,16606,2019-03-21 18:50:00
NX,OB,Weekday,8588396,17631,2019-03-21 19:28:00
NX,OB,Weekday,8588395,16606,2019-03-21 19:00:00
NX,OB,Weekday,8588395,17631,2019-03-21 19:38:00
